id	fdr.pvalue.JE6 5m U0126 vs JE6 0m U0126	fdr.pvalue.TCP 5m U0126 vs TCP 0m U0126	fdr.pvalue.N22 5m U0126 vs N22 0m U0126	fdr.pvalue.SHP 5m U0126 vs SHP 0m U0126	JE6 5m U0126 vs JE6 0m U0126	TCP 5m U0126 vs TCP 0m U0126	N22 5m U0126 vs N22 0m U0126	SHP 5m U0126 vs SHP 0m U0126
PERT-P100-DIA2_GELDANAMYCIN	0.385154169424732	0.350736673481862	0.792768464613874	0.216743644391179	-1.5947	-1.6519	-0.7299	1.9529
PERT-P100-DIA2_DMSO	0.993863584377009	1	0.337117559626869	0.544712589218848	-0.1499	0.075	-1.7442	1.2452
PERT-P100-DIA2_CI-994	0.390822502534559	0.351330405579953	0.78984833870067	0.215951306125391	-1.5937	-1.6568	-0.7388	1.9579
PATH-WP_Non-small_cell_lung_cancer	0.613671981206143	0.00118032786885246	0.00175423635898498	0.682564912540412	1.1745	4.0001	2.3919	0.9504
PATH-NP_TWEAK_PATHWAY	0.78984833870067	0.00118032786885246	0.00118032786885246	0.398098060670127	0.7941	4.6997	2.6009	1.6005
PATH-NP_TSLP_PATHWAY	0.0456811384029729	0.0609240142156033	0.39277905858933	0.705680409421787	2.8684	2.5823	1.5821	0.9853
PATH-NP_TIE2_PATHWAY	0.367005222685878	0.78984833870067	0.966446536566193	0.30268729089855	-1.647	0.7147	0.207	1.7428
PATH-NP_T_CELL_RECEPTOR_PATHWAY	0.0133417584066976	0.0941519058246733	0.216743644391179	0.923438018618913	-3.1558	2.1843	2.1405	0.3828
PATH-NP_PROLACTIN_PATHWAY	0.918993738562633	0.919367128322352	0.798050522612998	1	-0.4701	-0.3919	-0.7814	0.044
PATH-NP_OXYTOCIN_PATHWAY	0.78984833870067	0.00118032786885246	0.00118032786885246	0.78984833870067	0.7869	4.1739	2.508	0.7263
PATH-NP_NOTCH_PATHWAY	0.18451711026616	0.00118032786885246	0.0122098281579741	0.347776183644189	2.1682	5.2045	3.2718	1.7195
PATH-NP_LEPTIN_PATHWAY	0.259786862781825	0.00118032786885246	0.00118032786885246	0.290328555405781	1.9741	5.3405	3.8711	1.914
PATH-NP_KIT_RECEPTOR_PATHWAY	0.272552559548075	0.00118032786885246	0.00606698967769117	0.901109864072827	-1.9859	2.8815	3.1139	-0.4258
PATH-NP_IL33_PATHWAY	0.364159298595343	0.00118032786885246	0.00175423635898498	0.782537300755924	1.7102	4.1283	2.9001	0.7523
PATH-NP_GLP1_PATHWAY	0.672183777905236	0.858760325480454	0.999180532297716	0.216046484329147	1.014	-0.5766	0.1205	2.124
PATH-NP_FGF1_PATHWAY	0.840712929428789	0.682564912540412	0.324935910610174	0.641095131513928	-0.5811	-1.0317	1.7559	1.0202
PATH-NP_EGFR1_PATHWAY	0.0234444048191277	0.00717989629038692	0.153677383811682	0.787854974102518	3.3108	3.6877	2.423	-0.7388
PATH-NP_CRH_PATHWAY	0.78984833870067	0.00118032786885246	0.00118032786885246	0.390822502534559	0.8042	4.6661	2.6014	1.5928
PATH-NP_CCR7_PATHWAY	0.606717000781047	0.928779344651919	0.0937239655651208	0.5963433568871	1.1294	0.3065	-2.016	-1.1634
PATH-NP_B_CELL_RECEPTOR_PATHWAY	0.0327429930847481	0.475620301048378	0.881534774861331	0.328985733995193	2.3683	1.3945	0.5053	-1.6841
PATH-NP_AGE_RAGE_PATHWAY	0.215951306125391	0.00118032786885246	0.00118032786885246	0.427425425117378	2.1111	5.2072	3.7889	1.5261
PATH-BI_ISCHEMIA	0.251948312130622	0.0828979099678457	0.78984833870067	0.0433044819045224	-1.7934	2.5141	0.7113	-2.7014
KINASE-PSP_ZAP70	0.00118032786885246	0.00175423635898498	0.0212161989607991	0.147697827386885	3.6994	3.3911	3.3039	2.3126
KINASE-PSP_Syk/SYK	0.00323101777059774	0.0622162105488737	0.319091505969895	0.390822502534559	3.4252	2.9172	1.8425	-1.5983
KINASE-PSP_Src/SRC	0.292811367436652	0.937365296843589	0.0583838668735016	0.501765882302881	-1.9243	-0.2685	-2.9195	1.3174
KINASE-PSP_Ret/RET	0.475620301048378	0.78984833870067	0.160255479750327	0.633839728759541	1.4125	0.7579	2.165	-1.0545
KINASE-PSP_PDGFRB	0.204776210631137	0.937538102726514	0.58003364389234	0.926255695804745	1.864	0.286	1.2116	0.3879
KINASE-PSP_MKK6/MAP2K6	0.723154510867962	0.794400404790015	0.679657554607354	0.937538102726514	-1	0.8055	-0.9615	-0.2771
KINASE-PSP_MKK4/MAP2K4	0.318877838666757	0.475099922500196	0.272318878614323	0.635404635404635	-1.738	1.425	1.8741	-1.0719
KINASE-PSP_MEKK6/MAP3K6	0.928779344651919	0.492610320008594	0.960888516026171	0.960888516026171	-0.3782	1.4317	0.2181	-0.2242
KINASE-PSP_MEK1/MAP2K1	0.189612165005193	0.51125549648881	0.346487414416503	0.216743644391179	-2.2245	1.3197	-1.6755	2.0979
KINASE-PSP_LYN	0.682564912540412	0.599836844378329	0.985366951403657	0.451551768234783	0.9741	1.1312	-0.169	-1.4428
KINASE-PSP_Lck/LCK	0.00118032786885246	0.00118032786885246	0.00118032786885246	0.0834543708919032	6.4333	6.6389	5.7533	2.7784
KINASE-PSP_JAK3	0.524769275338327	0.936606106237524	0.116563546035275	0.139301072012598	1.296	0.2794	-2.1783	2.1126
KINASE-PSP_JAK2	0.187902352927866	0.0456811384029729	0.775692253011891	0.215951306125391	-2.2135	2.6644	-0.8479	-2.0326
KINASE-PSP_Hck/HCK	0.421630468783736	0.730472141940668	0.264336899970551	0.612540232500994	1.5246	0.8978	-1.8058	-1.1359
KINASE-PSP_Fyn/FYN	0.00118032786885246	0.00118032786885246	0.00175423635898498	0.390822502534559	5.3537	4.2491	4.4153	-1.6176
KINASE-PSP_FGFR1	0.454972980867533	0.926255695804745	0.583254344391785	1	1.4673	0.3921	1.2115	0.0102
KINASE-PSP_EGFR	0.492610320008594	1	0.811559524262711	0.0867955582034356	1.3949	-0.0833	0.6857	-2.0961
KINASE-PSP_AXL	0.78984833870067	0.369359381855572	0.789144643364592	0.36659516390833	0.7391	1.6569	0.7612	1.6716
KINASE-PSP_ASK1/MAP3K5	0.927362856032686	0.501765882302881	0.963520394862615	0.962795159286054	-0.3869	1.4227	0.2241	-0.2231
KINASE-PSP_ALK	0.664746498323141	0.900299411501532	0.280287173066766	0.174834878170617	-1.0307	-0.5053	-1.9283	-2.0712
KINASE-PSP_Abl/ABL1	0.121247348393282	0.105584992321846	0.109610419918029	0.926255695804745	2.5176	2.5429	2.5801	0.3631
KINASE-iKiP_ZAP70	0.122722456417186	0.0936719758932415	0.124126423906292	0.187595992101221	2.1517	2.5889	-2.3002	-2.2579
KINASE-iKiP_YES1	0.347776183644189	0.108681245858184	0.122722456417186	0.0530025415766759	-1.7507	2.5465	2.4771	2.9667
KINASE-iKiP_TYRO3	0.0096961861667744	0.613671981206143	0.00607779578606159	0.308782240960164	-3.5537	-1.0695	-3.6579	-1.8429
KINASE-iKiP_TXK	0.215951306125391	0.968322305670181	0.092438233480459	0.968322305670181	-2.1256	0.2049	-2.6277	0.2078
KINASE-iKiP_TNK1	0.145700402288282	0.259786862781825	0.598358581134467	0.306858147713951	-2.3777	-1.9995	-1.1581	1.8755
KINASE-iKiP_TEK	0.121778180860712	1	0.0752934614948889	0.918993738562633	-2.1485	0.088	-2.7052	-0.3723
KINASE-iKiP_TEC	0.125900991830322	0.704523010073079	0.0631182031805017	0.0456811384029729	-2.4242	-0.9141	-2.9739	2.9784
KINASE-iKiP_SYK	0.831652105710364	0.524769275338327	0.853289370034435	0.319091505969895	0.6226	-1.2644	-0.5398	-1.786
KINASE-iKiP_SRMS	0.262308484546043	0.16219818235953	0.473088462390133	0.447279322853688	1.9937	2.3448	1.3841	-1.4772
KINASE-iKiP_ROS1	0.853289370034435	0.872786950467476	0.881985128320936	0.916848581067672	0.5451	0.5254	-0.4684	-0.3798
KINASE-iKiP_RET	0.0387522237204401	0.0122098281579741	0.00175423635898498	0.0718564485780093	-3.367	-3.7813	-4.015	2.8363
KINASE-iKiP_PTK6	0.450385481204056	0.539018181818182	0.58003364389234	0.177634284147846	-1.4384	-1.3125	-1.2497	2.2518
KINASE-iKiP_PTK2B	0.069562016930438	0.273689495530945	0.119617224880383	0.0494372240532305	2.223	-1.8364	2.4292	-2.7132
KINASE-iKiP_PTK2.FAK	0.625452305797213	0.51209244465925	0.394245116425511	0.569153373428581	1.1436	1.3418	-1.5766	1.1854
KINASE-iKiP_PDGFRB	0.0285596756184991	0.327638710767006	0.823533682963295	0.937365296843589	-2.9702	1.7351	-0.6408	0.2865
KINASE-iKiP_PDGFRA	0.00118032786885246	0.823228183747887	0.385969831674268	0.240797704329156	-4.4859	-0.6393	-1.6413	-2.027
KINASE-iKiP_NTRK3	0.131127004605785	0.431544460338702	0.427425425117378	0.428331961401374	-2.4909	-1.5021	1.5106	-1.4966
KINASE-iKiP_NTRK2	0.0687761194029851	0.262308484546043	0.926255695804745	0.823533682963295	-2.819	2.0084	0.3878	0.6201
KINASE-iKiP_NTRK1	0.0370027752081406	0.0110710681850944	0.928433723609348	0.0096961861667744	3.2271	3.4404	0.3811	-3.7128
KINASE-iKiP_NPM1:ALK	0.864339431473408	0.0893698725781114	0.201685097419695	0.439610705198629	-0.5657	2.4671	2.1195	1.4766
KINASE-iKiP_MUSK	0.183460581144951	0.853289370034435	0.0151791455405989	0.0496029882042591	-2.2978	0.5642	-3.221	3.0868
KINASE-iKiP_MST1R	0.581191636870924	0.727443272129183	0.494346628304671	0.152927969763291	-1.1754	-0.8848	1.3782	-2.0617
KINASE-iKiP_MET	0.148401295186931	0.0143512058999402	0.0144344326830549	0.78984833870067	-2.4494	-3.4616	-3.3026	0.7476
KINASE-iKiP_MERTK.MER	0.25068318455092	0.439738962681263	0.427361943083954	0.042700654662499	-2.002	-1.4863	-1.5342	2.9684
KINASE-iKiP_MATK.CTK	0.0223880597014925	0.754297277225059	0.0223880597014925	0.376539455166981	-3.4196	0.8499	-3.0405	1.6523
KINASE-iKiP_MAPK3.ERK1	0.0583838668735016	0.0616084808791697	0.327638710767006	0.49825494559088	-2.5597	2.1496	1.7678	1.353
KINASE-iKiP_MAPK1.ERK2	0.00717989629038692	0.216743644391179	0.174834878170617	0.0808767951625095	-3.2969	2.0824	2.1741	-2.2834
KINASE-iKiP_LYNB.LYN	0.0144344326830549	0.906101571063208	0.843747962355191	0.441512229173419	-3.5342	-0.4141	-0.5935	1.4714
KINASE-iKiP_LYNA.LYN	0.215951306125391	0.475620301048378	0.0703055534494524	0.270063634331957	-2.1353	-1.3647	-2.7815	1.9656
KINASE-iKiP_LTK	0.110543533453015	0.732280558475329	0.620505982952497	0.197612775618211	-2.5857	0.8451	-1.071	2.0757
KINASE-iKiP_LCK	0.598358581134467	0.0496029882042591	0.122722456417186	0.16003851709196	1.1169	2.8773	2.5377	2.1822
KINASE-iKiP_KIT	0.0282339313939599	0.599836844378329	0.900299411501532	0.911347359270077	-2.8939	1.1074	0.4398	-0.4001
KINASE-iKiP_KDR	0.18451711026616	0.524769275338327	0.51125549648881	0.216743644391179	-1.9458	-1.3131	1.3422	2.1313
KINASE-iKiP_JAK3	0.853289370034435	0.219140350635579	0.441512229173419	0.449427690148669	0.5447	2.0902	1.4636	1.4614
KINASE-iKiP_JAK2	0.875764146324404	0.0496029882042591	0.0600050004167014	0.928779344651919	0.4968	2.7509	2.7592	0.3115
KINASE-iKiP_ITK	0.785424701037699	0.00717989629038692	0.281549520766773	0.171132529519582	-0.7617	3.5701	1.8653	2.3312
KINASE-iKiP_INSRR	0.930139400737061	0.0247591366596695	0.124126423906292	0.441512229173419	0.3395	2.8587	-2.4476	1.4918
KINASE-iKiP_INSR	0.886180089295894	0.896755002153835	0.14872131147541	0.313867777474439	-0.4794	0.4429	-2.37	1.8391
KINASE-iKiP_IGF1R	0.330523025642698	0.980950729520176	0.224384432088959	0.443275982561816	-1.8192	-0.1674	-2.1221	-1.4789
KINASE-iKiP_HCK	0.0583838668735016	0.194356532351024	0.0828979099678457	0.454972980867533	-2.9178	-2.23	-2.7128	1.4425
KINASE-iKiP_FRK	0.51125549648881	0.216046484329147	0.712897184190132	0.479917927079137	-1.3043	2.0065	-0.958	1.375
KINASE-iKiP_FLT4	0.238040021203287	0.260703292603302	0.448968469555257	0.0514538547882519	-2.0411	1.9783	-1.4564	-2.2503
KINASE-iKiP_FLT3	0.805220559411534	0.878980336302992	0.732708746213518	0.367005222685878	-0.6625	-0.4883	0.8625	-1.6727
KINASE-iKiP_FGR	0.0580547331937324	0.563519203984414	1	0.0735759651847063	-2.9343	1.2125	-0.039	2.58
KINASE-iKiP_FGFR4	0.351743677638252	0.00607779578606159	0.911347359270077	0.441512229173419	-1.7647	3.3319	-0.4156	-1.4608
KINASE-iKiP_FGFR3	0.162615493958778	0.843747962355191	0.129724768303099	0.824339280754047	-2.3311	0.5973	-2.3235	-0.6583
KINASE-iKiP_FGFR2	0.367780238927574	0.174834878170617	0.0601893279329346	0.78984833870067	-1.687	-2.2343	-2.6598	0.7149
KINASE-iKiP_FGFR1	0.78984833870067	0.452058704597892	0.0318192196925615	0.556544974928372	-0.6805	-1.4318	-2.8486	1.2036
KINASE-iKiP_FES	0.148401295186931	0.51125549648881	0.00118032786885246	0.900299411501532	-2.4528	-1.2939	-4.284	0.4227
KINASE-iKiP_FER	0.643245127124047	0.410734885843591	0.0551736217541709	0.962538679307394	-1.0233	-1.5511	-2.8889	0.2076
KINASE-iKiP_ERBB4	0.78212431993491	0.938219439477491	0.963520394862615	0.565080779741632	-0.7746	-0.2602	0.2091	-1.2499
KINASE-iKiP_EPHB4	0.78984833870067	0.258665216984598	0.153763697980656	1	-0.6876	-2.0094	-2.4256	-0.0812
KINASE-iKiP_EPHB3	0.669270113819385	0.524769275338327	0.325835866261398	0.427425425117378	0.9786	1.2995	-1.7872	1.5116
KINASE-iKiP_EPHB2	0.0718706328608505	0.289683594703039	0.0844833303573706	0.390822502534559	-2.8621	-1.9295	-2.8436	-1.5743
KINASE-iKiP_EPHB1	0.0133417584066976	1	0.0987290350779462	0.812696871091032	-3.2488	0.0758	-2.6246	-0.6366
KINASE-iKiP_EPHA8	0.390822502534559	0.527077669189507	0.405927328400574	0.462124800254965	-1.6202	-1.2555	-1.5644	-1.4249
KINASE-iKiP_EPHA7	0.78984833870067	0.174834878170617	0.524769275338327	0.109610419918029	0.8059	2.314	1.2579	2.0632
KINASE-iKiP_EPHA6	0.367780238927574	0.864339431473408	0.851028538893875	0.242663171915954	1.6173	0.5385	0.6301	2.0119
KINASE-iKiP_EPHA5	0.704523010073079	0.0497532082922014	0.176609489034097	0.604304732860243	-0.9091	2.9181	-2.2218	-1.1242
KINASE-iKiP_EPHA4	0.682564912540412	0.294393162220051	0.319091505969895	0.216046484329147	-1.064	1.8469	1.8353	1.9999
KINASE-iKiP_EPHA3	1	0.302095648703786	0.496044762537616	0.424351944167497	-0.0648	-1.8888	-1.3346	1.5206
KINASE-iKiP_EPHA2	0.937365296843589	0.76886588543188	0.14872131147541	0.657508700864451	0.2683	0.7959	-2.4261	1.0014
KINASE-iKiP_EPHA1	0.960888516026171	0.0401284109149278	0.543778270290757	0.00175423635898498	-0.2346	2.9118	-1.2332	3.8542
KINASE-iKiP_EGFR	0.78984833870067	0.00463219115508833	0.926255695804745	0.0465447023078415	0.8167	3.6555	0.3807	2.7231
KINASE-iKiP_DDR2	0.00853030033765772	0.777833179001353	0.100149505119131	0.777833179001353	-3.8484	0.8035	-2.5866	-0.7808
KINASE-iKiP_CSF1R.FMS	0.281549520766773	0.947951866770662	0.129508555698064	0.405927328400574	-1.9134	-0.2532	-2.388	-1.5539
KINASE-iKiP_BMX	0.926255695804745	0.928779344651919	0.928779344651919	0.125423053951822	0.3503	-0.3144	-0.3071	2.5742
KINASE-iKiP_AXL	0.911937789193486	0.648228353169867	0.51125549648881	1	-0.4062	1.0073	-1.3271	0.0702
KINASE-iKiP_ALK	0.853289370034435	0.482908022764825	0.00175423635898498	0.980584370930692	-0.5684	1.3723	-3.8653	0.1775
KINASE-iKiP_ABL2	0.874198108078721	1	0.0808767951625095	0.0456811384029729	-0.4816	0.094	2.7411	2.3957
DISEASE-PSP_type_2_diabetes	0.0173446211026223	0.00175423635898498	0.103648597818364	0.928779344651919	-2.8784	2.6375	2.63	-0.2984
DISEASE-PSP_neuroblastoma	0.00853030033765772	1	0.124126423906292	0.229188619599579	-4.0818	0.0485	-2.5044	2.1064
DISEASE-PSP_HNSCC	0.599836844378329	0.00118032786885246	0.00463219115508833	0.588433080832531	-1.1966	-3.3656	-2.2799	-1.1846
DISEASE-PSP_glioma	0.0151586393717586	0.00175423635898498	0.0808767951625095	0.928779344651919	-2.8221	2.6445	2.6361	-0.3068
DISEASE-PSP_breast_cancer	0.174834878170617	0.746082802547771	0.0948054513134505	0.662285748894676	2.0638	0.8566	2.5856	-1.0743
DISEASE-PSP_acute_myelogenous_leukemia	0.0173662257919464	0.00118032786885246	0.0834543708919032	0.928779344651919	-2.8109	2.621	2.5949	-0.3055
