id	fdr.pvalue.JE6 0m U0126 vs JE6 0m DMSO	fdr.pvalue.TCP 0m U0126 vs TCP 0m DMSO	fdr.pvalue.N22 0m U0126 vs N22 0m DMSO	fdr.pvalue.SHP 0m U0126 vs SHP 0m DMSO	fdr.pvalue.JE6 5m U0126 vs JE6 5m DMSO	fdr.pvalue.TCP 5m U0126 vs TCP 5m DMSO	fdr.pvalue.N22 5m U0126 vs N22 5m DMSO	fdr.pvalue.SHP 5m U0126 vs SHP 5m DMSO	JE6 0m U0126 vs JE6 0m DMSO	TCP 0m U0126 vs TCP 0m DMSO	N22 0m U0126 vs N22 0m DMSO	SHP 0m U0126 vs SHP 0m DMSO	JE6 5m U0126 vs JE6 5m DMSO	TCP 5m U0126 vs TCP 5m DMSO	N22 5m U0126 vs N22 5m DMSO	SHP 5m U0126 vs SHP 5m DMSO
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.00152129817444219	0.00152129817444219	0.0555362721277334	9e-04	9e-04	9e-04	0.196758525236496	0.00405837674324661	-3.0481	-2.9403	-2.0873	-3.5568	-3.7737	-4.0734	-1.8694	-3.2139
PERT-PSP_PHORBOL_ESTER	9e-04	9e-04	0.0590269238002922	9e-04	9e-04	9e-04	0.0316383536654885	0.00623376623376623	-3.9715	-4.2899	-2.0313	-3.5365	-4.7516	-5.0229	-2.9078	-3.2627
PERT-PSP_PDGF	0.0639930211159044	0.0321478802491461	0.799521776875268	0.032535432706376	0.00284331554286594	9e-04	0.0579559313765347	0.110374915340279	-2.492	-2.041	-0.6797	-2.6726	-3.0069	-3.464	-2.1786	-2.078
PERT-PSP_PD98059	0.904749994172212	0.621064791792581	0.92608040530212	0.993124688225215	1	1	0.607931808111853	0.376097983421997	0.3607	0.9648	-0.3159	-0.1562	0.0378	0.0019	-1.0158	-1.5202
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.0349587978057866	0.0317038012116043	0.79157512739553	0.0100936780552847	0.00152129817444219	9e-04	0.048582995951417	0.0610129066949339	-2.7636	-2.0314	-0.7114	-3.2584	-3.1687	-3.9993	-2.3096	-2.3297
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	0.0607273480091091	0.0320253206043609	0.799521776875268	0.0339610991046619	9e-04	9e-04	0.0579559313765347	0.106221934124384	-2.537	-2.0309	-0.6736	-2.6459	-3.0304	-3.4938	-2.1527	-2.0663
PERT-PSP_OKADAIC_ACID	0.0393491491740156	0.0273640075030343	0.79157512739553	0.00922892048868416	9e-04	9e-04	0.0555362721277334	0.0604733784476459	-2.8165	-2.0489	-0.7147	-3.2368	-3.1726	-3.9985	-2.2497	-2.2593
PERT-PSP_LPS	0.00284331554286594	9e-04	0.0544843944482281	9e-04	9e-04	9e-04	0.181402882179493	0.00733964905603958	-3.1145	-3.0268	-2.0839	-3.5912	-3.7851	-4.013	-1.9171	-3.1446
PERT-PSP_LPA	0.0403865625311955	0.032535432706376	0.79460965126075	0.011180063462388	9e-04	9e-04	0.0512158427673627	0.0610129066949339	-2.8317	-2.0656	-0.7019	-3.2741	-3.144	-4.0462	-2.2593	-2.3043
PERT-PSP_INSULIN	0.00152129817444219	9e-04	0.0593085290653364	9e-04	9e-04	9e-04	0.0398265219267606	0.00517470002910769	-3.5113	-3.7571	-2.0618	-3.6021	-4.3023	-4.5498	-2.8162	-3.3684
PERT-PSP_IMATINIB	0.789722248839852	0.957577534018015	0.830053246256582	0.036695880926571	0.430032927982265	0.142841142252524	0.0400724473624632	0.413864915125979	-0.6195	-0.2502	-0.4991	-2.845	1.4095	2.1209	2.872	-1.4262
PERT-PSP_IL_2	9e-04	9e-04	0.017799532762265	9e-04	9e-04	9e-04	0.0321478802491461	0.00284331554286594	-4.4619	-4.7969	-2.7796	-4.1985	-4.8832	-5.4622	-2.8863	-3.9163
PERT-PSP_IL_1B	9e-04	9e-04	0.0497592061806172	9e-04	9e-04	9e-04	0.18007931109971	0.00822857142857143	-3.0728	-3.0761	-2.075	-3.5588	-3.7021	-3.9993	-1.9338	-3.1891
PERT-PSP_IL_1A	0.00284331554286594	9e-04	0.0480324543610548	0.00152129817444219	9e-04	9e-04	0.187572080218194	0.00517470002910769	-3.0715	-3.0101	-2.0577	-3.5538	-3.8019	-4.035	-1.9115	-3.1279
PERT-PSP_HGF	0.0392585078036328	0.0317038012116043	0.790964101753506	0.00822857142857143	9e-04	9e-04	0.0530275200051111	0.05352824205944	-2.8153	-2.0546	-0.7129	-3.2156	-3.1963	-4.0367	-2.2795	-2.3424
PERT-PSP_HEREGULIN	0.0666240316643247	0.0329213089268568	0.794861501405058	0.0349587978057866	0.00152129817444219	9e-04	0.0557786101155991	0.119786625434867	-2.4785	-2.1025	-0.688	-2.6672	-3.0321	-3.4679	-2.1988	-2.0315
PERT-PSP_H2O2	1	0.793701084624855	0.805823985077334	0.00152129817444219	0.78837637375251	0.0579559313765347	0.0846170877409105	0.0232602315943726	0.0344	-0.5841	0.5409	3.6578	0.6169	-2.5994	2.0012	2.926
PERT-PSP_GEFITINIB	0.919389961654081	0.416325516096198	0.757644333760831	0.963993568970961	1	0.0529952719904401	0.1804442016044	0.366260915857042	-0.3315	-1.4294	-0.6788	-0.2303	-0.0605	2.4861	2.1065	-1.5338
PERT-PSP_FIBRONECTIN	0.0561516773448666	0.0317038012116043	0.79755538579068	0.0355783960073133	9e-04	9e-04	0.0590269238002922	0.103022313046046	-2.5464	-2.0336	-0.6848	-2.5961	-3.0007	-3.5407	-2.2009	-2.0685
PERT-PSP_FGF2	0.285089034780773	0.160719039123367	0.66552975350874	0.0965721578445094	0.379061615511648	0.00735290363100679	0.316586164768537	0.0842408219785594	-1.6765	-1.9467	-0.873	-2.3076	-1.4935	-3.0116	-1.6188	-2.5084
PERT-PSP_FGF1	0.0644076142007965	0.0355783960073133	0.79755538579068	0.0364424959995016	0.00284331554286594	9e-04	0.0529952719904401	0.108332117320881	-2.4887	-2.0476	-0.6855	-2.6527	-2.9978	-3.5652	-2.2403	-2.0346
PERT-PSP_ETOPOSIDE	0.056699826242468	0.985398378681595	0.0164222999806796	0.672324070003683	0.0144163110261896	0.285477293149927	0.00822857142857143	0.0142331167066149	2.3044	-0.1899	3.3445	0.8554	3.3355	-1.6799	3.1755	3.2345
PERT-PSP_ERLOTINIB	0.0341259428261193	0.0355076524027474	0.790964101753506	0.0100546176762661	9e-04	9e-04	0.0545205785927564	0.0636996859251597	2.8487	2.0395	0.7151	3.2609	3.1481	3.9819	2.2589	2.2989
PERT-PSP_EPO	0.0656376256086191	0.0403828518706515	0.79755538579068	0.0321478802491461	0.00152517168772957	9e-04	0.0584781072585951	0.104240577653491	-2.5009	-2.035	-0.6769	-2.6672	-3.0576	-3.4769	-2.1652	-2.0467
PERT-PSP_EGF	0.032535432706376	0.16756355414187	0.502789604511662	0.367311420007459	0.404846349511205	0.0119287258629688	0.221330475312181	0.261897048543027	3.2191	2.1522	1.205	1.5306	1.4647	-3.6735	1.9752	1.8461
PERT-PSP_DASATINIB	0.0355372750642673	0.0339610991046619	0.784895347287028	0.00517470002910769	0.00152129817444219	9e-04	0.0498070341513143	0.0668464837078408	2.8259	2.0585	0.7188	3.3002	3.1474	4.0249	2.2946	2.2953
PERT-PSP_CYCLIC_STRETCH	0.0592596109900937	0.0353560682046138	0.79755538579068	0.0398265219267606	9e-04	9e-04	0.0493050048688692	0.114477767457294	-2.5156	-2.0243	-0.6762	-2.6222	-3.0686	-3.496	-2.1889	-2.0501
PERT-PSP_CXCL12	0.0610129066949339	0.0343024942937454	0.79755538579068	0.0339610991046619	9e-04	9e-04	0.0577271440347365	0.109163621762698	-2.5283	-2.0413	-0.6783	-2.603	-3.0866	-3.5223	-2.2448	-2.06
PERT-PSP_CISPLATIN	0.00284331554286594	9e-04	0.049281584019625	9e-04	9e-04	9e-04	0.180782908243154	0.00623376623376623	-3.0546	-3.0222	-2.061	-3.5296	-3.7157	-4.1195	-1.8985	-3.2156
PERT-PSP_BACTERIAL_INFECTION	0.032535432706376	0.0280153938752804	0.790964101753506	0.00733964905603958	0.00152129817444219	9e-04	0.0557101642990697	0.0610129066949339	-2.8015	-2.0583	-0.714	-3.2364	-3.1414	-4.032	-2.2537	-2.2871
PERT-PSP_ARSENITE	9e-04	0.0853178067265602	0.0722151088348271	0.234082945543731	9e-04	0.79755538579068	0.0127196963172504	0.109231760939659	3.6529	2.5843	2.6859	1.8514	3.4306	-0.6432	3.0971	2.3981
PERT-PSP_ANTI_IGM	0.0590269238002922	0.0351827679294099	0.79755538579068	0.0336075343402567	0.00152129817444219	9e-04	0.0530667361588212	0.11347553074853	-2.493	-2.0394	-0.6825	-2.6314	-3.0158	-3.5022	-2.2208	-2.0524
PERT-PSP_ANTI_CD3	9e-04	9e-04	0.0119105625033837	0.0142123162127561	9e-04	9e-04	9e-04	9e-04	-6.7861	-7.5094	-3.6417	-3.4089	-6.7941	-8.9854	-6.0985	-6.7578
PERT-PSP_ANISOMYCIN	9e-04	9e-04	0.0586830686596745	9e-04	9e-04	9e-04	0.0351301470120283	0.00284331554286594	-3.5811	-3.6957	-2.0734	-3.575	-4.2934	-4.5615	-2.8263	-3.3463
PERT-P100-DIA2_SOTRASTAURIN	0.989533941251651	0.919105031211323	0.710371104963725	0.66552975350874	1	0.197257991201221	0.31647338270225	0.647046209429655	-0.1803	0.3288	0.8118	0.866	-0.0593	2.0133	1.6771	0.8929
PERT-P100-DIA2_RGFP966	0.167391273072552	0.0186371578334304	0.0158699654704267	0.8395422410816	0.111606940556616	0.767687445164427	0.035791006089442	0.284673327521849	2.1803	-2.8322	3.2873	0.4809	2.4003	0.7004	2.9579	1.7386
PERT-P100-DIA2_RESVERATROL	0.482349758894269	0.376097983421997	0.00921064308997887	0.442686068915348	0.116059518941974	0.994033846268481	0.0510952052431873	0.0363376372124322	1.2812	-1.4905	3.2448	-1.3531	2.3022	-0.1417	2.811	2.9093
PERT-P100-DIA2_PAZOPANIB	0.574620909816441	0.33234749440283	0.0355372750642673	0.17888579844969	0.0509496355232181	0.465183745679283	0.0738917062892017	0.0127691553957441	1.1018	-1.5905	2.6871	-2.0854	2.8154	-1.3279	2.4651	3.0815
PERT-P100-DIA2_LOSMAPIMOD	0.474458136415489	0.382515680978644	0.010044175773076	0.441025258164024	0.11084971901065	0.994033846268481	0.051449151089007	0.0351301470120283	1.2976	-1.5016	3.2412	-1.3527	2.3513	-0.1449	2.7592	2.9509
PERT-P100-DIA2_LENALIDOMIDE	0.566484302549637	0.339180120922198	0.0408941593605911	0.197399101802145	0.0526379137412237	0.470086669193384	0.0644076142007965	0.0142331167066149	1.1126	-1.5777	2.609	-2.0444	2.8196	-1.3326	2.4993	3.053
PERT-P100-DIA2_IPI145	0.543314087388729	0.259220296397675	0.985510317880941	0.986090626739131	0.0853754940711463	0.494368778381671	0.642282225383452	0.0173179609704472	-1.1827	-1.7144	0.2074	-0.1717	2.5325	-1.319	0.9538	2.9051
PERT-P100-DIA2_GELDANAMYCIN	0.47190332326284	0.369998138496769	0.0127620353082977	0.430268029438747	0.111760935747476	0.994033846268481	0.0530667361588212	0.031430582611685	1.2867	-1.5137	3.1676	-1.3743	2.3196	-0.142	2.752	2.9504
PERT-P100-DIA2_DMSO	0.84181172353615	0.769345858258504	0.149779044531025	0.703593146968921	0.801619050370748	0.380663677130045	0.374049838344513	0.789353255977981	0.4612	0.6613	2.1924	0.8191	-0.5692	1.5084	1.5103	-0.6261
PERT-P100-DIA2_CI-994	0.4776359021524	0.38144103921492	0.0127196963172504	0.442135967044495	0.105589326400218	0.996011815844663	0.0544843944482281	0.0317038012116043	1.2817	-1.4984	3.1949	-1.3608	2.3404	-0.1435	2.7601	2.9484
PATH-WP_Non-small_cell_lung_cancer	0.00152129817444219	9e-04	0.0609146425879494	9e-04	9e-04	9e-04	0.0363376372124322	0.00517470002910769	-3.4549	-3.7023	-2.0708	-3.1551	-4.1908	-4.1637	-2.7758	-3.2462
PATH-NP_TWEAK_PATHWAY	9e-04	9e-04	0.0557101642990697	9e-04	9e-04	9e-04	0.0353560682046138	0.013513572044231	-3.9584	-4.2378	-2.0951	-3.5745	-4.8917	-5.0467	-2.8966	-3.2228
PATH-NP_TSLP_PATHWAY	0.00826287754710578	0.00733964905603958	0.302659525348601	0.0186371578334304	9e-04	0.00152129817444219	0.171014141163395	0.555737025939567	-2.6812	-2.6476	-1.6683	-2.8625	-3.1063	-3.175	-2.1405	-1.1201
PATH-NP_TIE2_PATHWAY	1	0.802438461170861	0.451499118165785	0.805823985077334	1	0.0665727132407221	0.629235379760819	0.773035880788756	0.1003	0.5486	1.3503	-0.5757	0.0416	-2.5227	0.9853	0.6383
PATH-NP_T_CELL_RECEPTOR_PATHWAY	0.178643115214773	0.0127196963172504	0.073662752480363	0.00517470002910769	0.0769735154089574	9e-04	0.785735165156387	0.510109686797938	-2.0644	-2.4024	2.4337	-3.3401	-2.4794	-3.5948	-0.6517	-1.2442
PATH-NP_PROLACTIN_PATHWAY	0.59119829659729	0.85622078353903	0.674241311632999	0.501684963287667	0.59119829659729	0.926404543410108	0.59119829659729	0.698451773193426	1.0759	0.4938	0.8992	-1.2501	1.1322	0.3087	1.109	0.9054
PATH-NP_OXYTOCIN_PATHWAY	9e-04	9e-04	0.0635110486499417	9e-04	9e-04	9e-04	0.0358514724711908	0.00152129817444219	-3.5164	-3.6662	-2.0387	-3.5841	-4.3856	-4.5342	-2.8393	-3.4142
PATH-NP_NOTCH_PATHWAY	9e-04	0.00152129817444219	0.00922912011715855	9e-04	9e-04	9e-04	0.0725517850327146	0.036695880926571	-4.834	-4.2248	-2.8618	-4.1882	-5.2731	-5.3684	-2.6213	-3.1172
PATH-NP_LEPTIN_PATHWAY	9e-04	9e-04	0.00733964905603958	9e-04	9e-04	9e-04	0.128191884340489	0.00152129817444219	-5.081	-4.8842	-3.295	-4.5253	-5.1987	-5.38	-2.3018	-4.4606
PATH-NP_KIT_RECEPTOR_PATHWAY	0.00405837674324661	0.0236867278405094	0.749994692632666	9e-04	9e-04	9e-04	0.445851315723186	0.0173179609704472	-3.4817	-2.2287	-0.7927	-3.7718	-3.7574	-4.0077	-1.3561	-2.9207
PATH-NP_IL33_PATHWAY	0.00623376623376623	0.00284331554286594	0.153431266962478	9e-04	9e-04	9e-04	0.0121072685650517	0.0151187874732446	-3.3339	-3.5613	-2.0426	-3.813	-4.2407	-5.1254	-3.2319	-3.1869
PATH-NP_GLP1_PATHWAY	0.940147269181683	0.341630672363913	0.0127196963172504	0.725663565320848	0.926404543410108	0.555986769043383	0.0844972435093341	0.0951535499028841	0.2566	1.5705	3.1674	-0.7498	-0.3357	1.1229	2.5619	2.4675
PATH-NP_FGF1_PATHWAY	0.151262611021092	0.035791006089442	0.959415690281069	0.0170815691055571	0.644359315673065	0.940147269181683	0.753801793925536	0.991670051170073	-2.1394	-2.8942	-0.221	-3.0018	-0.8956	0.2786	-0.6808	-0.1652
PATH-NP_EGFR1_PATHWAY	0.00623376623376623	9e-04	1	9e-04	0.0343843646652897	9e-04	0.6421474685087	0.326094956284782	-3.9922	-6.5642	-0.0592	-5.1006	-3.0734	-6.9386	0.905	-1.6256
PATH-NP_CRH_PATHWAY	9e-04	9e-04	0.0609146425879494	9e-04	9e-04	9e-04	0.0316383536654885	0.00822857142857143	-3.8729	-4.181	-2.0451	-3.592	-4.9166	-5.031	-2.9151	-3.1945
PATH-NP_CCR7_PATHWAY	0.496985763941611	0.70157874977771	0.79755538579068	1	0.157731649105272	0.0924333444731544	0.411952891407212	0.868666220693795	-1.2762	-0.8645	-0.6119	-0.0625	2.0448	-1.9131	-1.408	0.4318
PATH-NP_B_CELL_RECEPTOR_PATHWAY	0.236252159144143	0.634906525222755	0.636460354214907	0.297937290131263	0.292082998111734	0.0134516774356734	0.0668464837078408	0.66552975350874	1.9175	0.9702	-0.9255	1.7146	1.7285	-2.962	-2.5462	0.8725
PATH-NP_AGE_RAGE_PATHWAY	9e-04	9e-04	0.0127196963172504	9e-04	9e-04	9e-04	0.153119923021678	9e-04	-4.856	-4.9227	-2.8892	-4.6124	-5.2443	-5.5134	-2.175	-4.3065
PATH-BI_ISCHEMIA	0.703593146968921	0.0529952719904401	0.196007116377308	0.872724727783837	0.134986099645691	9e-04	0.0940123970098835	0.357233088285348	-0.824	-2.302	1.9362	-0.4445	-1.9859	-3.615	-2.0293	-1.5226
KINASE-PSP_ZAP70	0.6015852052136	0.234417771289215	0.841058370938849	0.242914144793985	1	0.598838971866875	0.0363376372124322	0.0590269238002922	-1.0182	-1.9299	-0.4822	1.8924	-0.0322	-1.0174	-2.91	-2.7114
KINASE-PSP_Syk/SYK	0.774102810529523	0.714793124513035	0.442686068915348	0.179210019086244	0.882310728045185	0.0134516774356734	0.0164222999806796	0.646286639093688	-0.6589	0.7883	-1.3361	2.1151	-0.383	-3.3536	-3.1722	0.9047
KINASE-PSP_Src/SRC	0.176668789517652	0.241421808590286	0.413864915125979	0.769345858258504	0.105664208617437	0.788977578931313	0.725012359865845	0.767687445164427	-2.134	-1.9043	1.3953	-0.6368	2.4827	-0.6313	0.7341	-0.6501
KINASE-PSP_Ret/RET	9e-04	0.0179425837320574	0.264961169483783	0.863381502318225	0.0164420990273773	0.854841725292357	0.0980650249990598	0.149779044531025	3.8326	3.2575	1.8468	0.4267	2.9517	-0.4549	2.4317	2.1737
KINASE-PSP_PDGFRB	0.296753749117408	0.930813385179157	0.968789241089254	0.734038486045622	0.994033846268481	0.032535432706376	0.153119923021678	0.914218373319056	1.7019	0.3029	-0.2055	-0.785	-0.149	-2.6242	-2.1605	0.3285
KINASE-PSP_MKK6/MAP2K6	0.411952891407212	0.487676398945129	0.279056056859309	0.0798458031586313	0.5348670194868	0.167510462988861	0.485063234528934	0.188996755294294	1.435	1.2877	1.7887	2.4389	1.1459	-2.1295	1.3012	2.038
KINASE-PSP_MKK4/MAP2K4	0.00152129817444219	0.0734623700732019	0.0599912155720055	0.0610129066949339	0.00152129817444219	0.801482926829268	0.00405837674324661	0.0251046025104603	3.6687	2.6491	2.8141	2.5934	3.2252	-0.6077	3.3614	2.9703
KINASE-PSP_MEKK6/MAP3K6	0.0931219885732586	0.904749994172212	0.1358232683957	0.0258294046990219	0.133671638096417	0.0564070508813602	0.0911130711975612	0.0393100436011985	2.0945	0.3595	2.2617	3.0171	2.2082	-2.6251	1.9732	2.5102
KINASE-PSP_MEK1/MAP2K1	0.251945714789288	0.00152129817444219	0.281168893588388	0.926636056621576	0.1358232683957	0.21670772179671	0.629235379760819	0.799521776875268	1.8836	-3.4172	1.7665	-0.3017	2.2306	-2.0012	0.9509	0.5686
KINASE-PSP_LYN	0.747432216905901	0.288272394478014	0.435106979261292	0.0741534476751448	0.844613489799783	1	0.91612969344487	0.845165652467884	-0.7361	-1.6701	1.3847	2.6174	-0.4998	-0.0108	-0.3426	0.4772
KINASE-PSP_Lck/LCK	0.0118952675759337	0.153119923021678	0.407498538201026	0.769345858258504	0.767687445164427	0.451499118165785	0.0312059811463864	0.259220296397675	-3.3699	-2.2494	-1.4311	0.65	-0.6555	-1.3299	-3.4059	-1.8297
KINASE-PSP_JAK3	0.621825839217144	0.0853043707339103	0.169078461709594	0.277889830128636	0.145972511066445	0.278284715727662	0.996011815844663	0.15525317711922	-1.0463	1.9852	1.8389	1.6866	2.1298	1.6805	-0.145	1.8482
KINASE-PSP_JAK2	0.187572080218194	0.187572080218194	0.649553132749988	0.251378886215779	0.0279543800048532	0.00931423914309	0.0227035085749891	0.719283304045969	-2.0394	1.8133	-0.9229	-1.8724	-2.5269	-2.6612	-2.6832	-0.7712
KINASE-PSP_Hck/HCK	0.715202977173258	0.940147269181683	0.397113485727968	0.121238384726341	0.39200613891733	0.378822777058189	0.0523352059302596	0.623275354405504	0.7697	0.2692	-1.468	2.2041	-1.4572	-1.5103	-2.7857	0.9964
KINASE-PSP_Fyn/FYN	0.00284331554286594	0.00405837674324661	0.00284331554286594	0.0624012389017899	9e-04	9e-04	0.00152129817444219	9e-04	-4.3576	-4.3531	-3.8726	-2.7108	-5.2092	-3.9495	-4.3603	-4.4124
KINASE-PSP_FGFR1	0.47413536520031	0.510109686797938	0.643202000363541	0.799521776875268	0.970884698759652	0.0426171195675152	0.675799120990338	1	1.2942	1.2135	-0.9188	-0.5933	-0.2056	-2.5102	-0.8545	-0.1236
KINASE-PSP_EGFR	0.717179593077225	0.751604989822016	0.722890505163189	0.0791629253632882	0.9017597289675	0.301314817665755	0.451308161415176	0.880567117585848	-0.7928	-0.7259	-0.7586	2.6435	0.3573	-1.7096	-1.3417	-0.4125
KINASE-PSP_AXL	0.530514802418126	0.262284391072752	0.197257991201221	0.699453551912568	0.057663028725293	0.584733025708636	0.79755538579068	0.800826972730002	-1.1942	1.7079	1.8031	-0.8539	-2.1717	1.0747	0.5788	0.5934
KINASE-PSP_ASK1/MAP3K5	0.0965721578445094	0.9017597289675	0.123966258531412	0.0192588894040444	0.143829333706069	0.0594396165044002	0.0858261393294519	0.0447491210656673	2.1199	0.3646	2.2919	3.0971	2.2142	-2.614	1.9576	2.5645
KINASE-PSP_ALK	0.315376747357654	0.164721183658972	0.271642938423043	0.387911506327099	1	0.54060847086896	0.554428017208492	0.649553132749988	1.652	-2.1599	1.8048	-1.4855	-0.0599	1.215	1.1143	-0.9641
KINASE-PSP_Abl/ABL1	0.978311531147352	0.535042996492417	0.0418470040374927	0.277889830128636	0.555737025939567	1	0.631121930971039	0.00518008903278025	-0.191	-1.1441	-3.0791	-1.7522	-1.0961	-0.0233	-0.9221	-3.8052
KINASE-iKiP_ZAP70	0.455814591503981	0.110220787456044	0.703593146968921	0.0572174262196346	0.258329518601457	0.00152129817444219	0.157731649105272	0.508089053437971	-1.3335	2.3662	-0.7863	-2.6833	-1.84	3.582	-2.1777	-1.1762
KINASE-iKiP_YES1	0.0834153081590065	0.110925060955906	0.339180120922198	0.0444912992919966	0.0322093968678598	0.00406586704614759	0.757721162874209	0.115118378812199	-2.6455	2.3164	-1.599	-3.0018	-3.0406	3.848	-0.6814	-2.3944
KINASE-iKiP_TYRO3	0.106850096136447	0.629235379760819	0.757644333760831	0.773035880788756	0.132060834581176	0.924815142719352	0.982208794897617	0.339180120922198	2.4996	-0.9445	-0.6826	0.6401	-2.27	-0.3215	0.1812	-1.5967
KINASE-iKiP_TXK	0.694871004035604	0.215332547405787	0.419761428311547	0.940147269181683	1	0.311223091082362	0.657593232690499	0.992594568414255	0.8216	1.9075	-1.3992	0.2649	-0.028	1.7001	-0.8896	0.1725
KINASE-iKiP_TNK1	0.105664208617437	0.285477293149927	0.378419800438922	0.994033846268481	0.4776359021524	0.0595679928741093	0.039198606271777	0.957577534018015	2.3891	1.7239	1.4937	0.1601	1.2687	2.6135	3.0201	0.2353
KINASE-iKiP_TEK	0.554617693233923	0.521908716913762	1	0.994033846268481	0.283764174772935	0.471370451772528	0.0578462700585917	0.615203356967332	1.1007	-1.18	-0.0014	0.1507	-1.7432	1.2815	-2.6906	-0.9654
KINASE-iKiP_TEC	0.315672344432081	0.134366242821739	0.535042996492417	0.805823985077334	0.497851792846115	0.0166865023373373	0.232512378698618	0.985196060250784	-1.681	2.206	-1.1216	-0.5335	-1.2153	3.4382	-1.894	0.1794
KINASE-iKiP_SYK	0.0446470095805041	0.416325516096198	0.615780172307994	0.114883624015183	0.073697606061904	0.0610379195784168	0.494368778381671	0.326883177372232	-2.9962	1.4118	-0.964	-2.381	-2.6365	2.6006	-1.2243	-1.614
KINASE-iKiP_SRMS	0.256851885928813	0.0336075343402567	0.135276006691071	0.444590553216751	0.79755538579068	0.814804732116965	0.0904120417641053	1	-1.8392	-3.2629	-2.2919	1.3113	-0.5681	-0.5266	-2.5398	-0.0049
KINASE-iKiP_ROS1	0.813928100541146	1	0.438547333315109	0.757721162874209	0.275403636969014	0.0806969904619222	0.963633090287154	0.0481470267539208	-0.5473	0.1068	-1.3714	-0.6914	-1.7825	2.5805	0.2194	-2.8733
KINASE-iKiP_RET	0.219412028458172	0.943261923377639	0.25221594146304	0.321428571428571	0.138663014636652	0.84645094703231	0.134986099645691	0.429883528968598	1.9582	-0.2734	1.8419	-1.6571	-2.2322	-0.4797	2.293	1.3768
KINASE-iKiP_PTK6	0.769345858258504	0.619272737651756	0.451308161415176	0.634906525222755	0.940147269181683	0.0432267938580054	0.30226874083446	0.773485691242804	0.6627	0.9496	-1.3197	-0.9494	-0.2829	2.7441	-1.7328	0.6925
