id	fdr.pvalue.JE6 5m DMSO vs JE6 0m DMSO	fdr.pvalue.TCP 5m DMSO vs TCP 0m DMSO	fdr.pvalue.N22 5m DMSO vs N22 0m DMSO	fdr.pvalue.SHP 5m DMSO vs SHP 0m DMSO	JE6 5m DMSO vs JE6 0m DMSO	TCP 5m DMSO vs TCP 0m DMSO	N22 5m DMSO vs N22 0m DMSO	SHP 5m DMSO vs SHP 0m DMSO
PERT-PSP_LPS	0.000441717791411043	0.000441717791411043	0.000824107903194792	0.00299180992034306	3.8905	4.0944	3.2923	2.9327
PERT-PSP_LPA	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.052066638065246	3.3479	4.0551	3.3734	1.994
PERT-PSP_INSULIN	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.000441717791411043	4.4243	4.5337	3.9076	3.6381
PERT-PSP_IMATINIB	0.205725236867579	0.988887198189752	0.0143205858421481	0.728961540951359	-1.8116	-0.1506	-2.8449	-0.7398
PERT-PSP_IL_2	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.000441717791411043	4.993	5.5271	4.4049	4.0679
PERT-PSP_IL_1B	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.00362910542551261	3.9782	4.0242	3.2759	2.9417
PERT-PSP_IL_1A	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.00299180992034306	3.935	3.9587	3.2464	2.9095
PERT-PSP_HGF	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.0499213010417426	3.3499	3.9356	3.3873	2.0096
PERT-PSP_HEREGULIN	0.000441717791411043	0.000441717791411043	0.000824107903194792	0.0500458753857703	3.1249	3.5624	3.0034	2.0183
PERT-PSP_H2O2	0.501492366521403	0.200365902575993	0.0721091732883586	0.688036347260103	-1.2389	2.0427	-2.2897	-0.8913
PERT-PSP_GEFITINIB	0.327024092271212	0.0015702421662363	0.00299813865558466	0.505428571428571	-1.6002	-2.8839	-3.1728	-1.2097
PERT-PSP_FIBRONECTIN	0.000441717791411043	0.000441717791411043	0.000824107903194792	0.0499213010417426	3.1317	3.5119	2.9711	2.0092
PERT-PSP_FGF2	0.676706378127187	0.330473575840769	0.451519391405615	0.13920037120099	0.8823	1.6187	1.344	2.1086
PERT-PSP_FGF1	0.000441717791411043	0.000441717791411043	0.000824107903194792	0.0477922201902739	3.1437	3.4942	3.0066	2.0126
PERT-PSP_ETOPOSIDE	0.416830385649985	0.142534590320061	0.614488759487481	0.150926325745893	-1.4274	2.2257	-1.0641	-2.186
PERT-PSP_ERLOTINIB	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.0492161143083945	-3.3689	-3.9612	-3.3468	-1.9912
PERT-PSP_EPO	0.000441717791411043	0.000441717791411043	0.000824107903194792	0.0499213010417426	3.1466	3.4701	2.9342	2.0018
PERT-PSP_EGF	0.000441717791411043	0.000441717791411043	0.0123267896822608	0.91801356474774	4.1027	4.8906	3.3575	0.3454
PERT-PSP_DASATINIB	0.000441717791411043	0.000441717791411043	0.000824107903194792	0.0492845786963434	-3.421	-3.9907	-3.3805	-2.0142
PERT-PSP_CYCLIC_STRETCH	0.000824107903194792	0.000441717791411043	0.000824107903194792	0.0499213010417426	3.1512	3.522	2.9382	1.9892
PERT-PSP_CXCL12	0.000824107903194792	0.000441717791411043	0.000824107903194792	0.0500458753857703	3.1591	3.5311	2.9936	1.9975
PERT-PSP_CISPLATIN	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.00419912401607331	3.998	3.9822	3.2716	2.9433
PERT-PSP_BACTERIAL_INFECTION	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.0499213010417426	3.391	3.9986	3.3999	1.9964
PERT-PSP_ARSENITE	0.680521465439638	0.258018537490029	0.411484027496967	0.187727663975336	0.8451	1.7906	-1.4483	-1.9772
PERT-PSP_ANTI_IGM	0.000824107903194792	0.000441717791411043	0.000441717791411043	0.0421561677131861	3.162	3.5033	2.9003	1.9983
PERT-PSP_ANTI_CD3	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.000441717791411043	7.7136	8.61	8.4504	7.3511
PERT-PSP_ANISOMYCIN	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.000441717791411043	4.4579	4.5831	3.925	3.5873
PERT-P100-DIA2_SOTRASTAURIN	0.800465866766958	0.848581547942528	0.444601324311796	0.432551977311464	0.5784	0.4839	1.3624	1.3879
PERT-P100-DIA2_RGFP966	0.858223946558889	0.589589773832822	0.920374052441904	1	-0.4592	-1.0218	0.3276	-0.0038
PERT-P100-DIA2_RESVERATROL	0.835170608978569	0.644478030322437	0.415858633814264	0.213865199078361	-0.5287	-0.9566	1.4445	-1.9672
PERT-P100-DIA2_PAZOPANIB	0.183450836900811	0.791658878496776	0.445282431479078	0.0169688293777223	-2.0514	-0.6816	1.3462	-2.7006
PERT-P100-DIA2_LOSMAPIMOD	0.835170608978569	0.642825741969912	0.419217252562752	0.212391086127284	-0.5248	-0.9595	1.4251	-1.9699
PERT-P100-DIA2_LENALIDOMIDE	0.181423997761189	0.775074027697913	0.447384573416081	0.0162713561549534	-2.0751	-0.6929	1.3455	-2.6796
PERT-P100-DIA2_IPI145	0.0950972104818259	0.38056540530054	0.168471503176362	0.00364889519562133	-2.4758	-1.5177	-1.8208	-2.925
PERT-P100-DIA2_GELDANAMYCIN	0.821724730684115	0.639154924869211	0.411484027496967	0.213585241486229	-0.5367	-0.9721	1.4547	-1.9629
PERT-P100-DIA2_DMSO	0.420333172903063	0.626275099323526	0.719150324144004	0.277517543704594	1.3962	-0.9365	-0.7248	1.7773
PERT-P100-DIA2_CI-994	0.827198996846349	0.639224520445081	0.411484027496967	0.211179513684654	-0.5368	-0.9573	1.4448	-1.9992
PATH-WP_Non-small_cell_lung_cancer	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.000441717791411043	4.2832	4.1458	3.6123	3.6067
PATH-NP_TWEAK_PATHWAY	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.000441717791411043	5.01	5.1949	4.3328	3.6065
PATH-NP_TSLP_PATHWAY	0.00551011622901421	0.00680519009164323	0.000441717791411043	0.846270442760271	3.2621	3.3655	3.5942	0.5237
PATH-NP_TIE2_PATHWAY	1	0.238916837274436	0.497354562080629	0.454206173088562	0.0604	1.9109	-1.2965	1.3376
PATH-NP_T_CELL_RECEPTOR_PATHWAY	0.00425059626419817	0.000441717791411043	0.000441717791411043	0.562227713595926	2.9952	3.4978	2.9718	1.1333
PATH-NP_PROLACTIN_PATHWAY	0.988887198189752	0.979121990244336	0.920374052441904	0.606926853800241	0.2018	-0.2392	-0.4162	-1.0811
PATH-NP_OXYTOCIN_PATHWAY	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.000441717791411043	4.482	4.5746	3.857	3.6842
PATH-NP_NOTCH_PATHWAY	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.000441717791411043	5.3122	5.5693	4.3719	4.1198
PATH-NP_LEPTIN_PATHWAY	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.000441717791411043	5.2784	5.5537	4.2421	4.7007
PATH-NP_KIT_RECEPTOR_PATHWAY	0.000441717791411043	0.000441717791411043	0.0015702421662363	0.0313438683557529	3.8411	3.9731	3.176	2.4576
PATH-NP_IL33_PATHWAY	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.00613359306449643	4.8137	5.2569	4.6429	3.4232
PATH-NP_GLP1_PATHWAY	0.379667929683345	0.0965406275140788	0.872114531662086	0.632384628134397	1.5223	2.329	-0.4547	-0.935
PATH-NP_FGF1_PATHWAY	0.644784487793482	0.219256812905785	0.233962952824163	0.519607407736377	-0.8783	-1.8594	-1.898	1.1699
PATH-NP_EGFR1_PATHWAY	0.000824107903194792	0.000441717791411043	0.0049219951658976	0.700610742153769	4.475	5.7158	3.816	0.7414
PATH-NP_CRH_PATHWAY	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.000441717791411043	4.8904	5.1252	4.3418	3.6532
PATH-NP_CCR7_PATHWAY	0.105240239836195	0.499772863554594	0.676814838457637	0.211179513684654	-1.9709	1.2659	0.9033	-1.8642
PATH-NP_B_CELL_RECEPTOR_PATHWAY	0.411484027496967	0.0015702421662363	0.000441717791411043	0.929521530491453	1.4459	2.9329	3.5527	0.3074
PATH-NP_AGE_RAGE_PATHWAY	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.000441717791411043	5.2728	5.5013	4.2418	4.391
PATH-BI_ISCHEMIA	0.0231673766756339	0.000824107903194792	0.00299180992034306	0.12295157221079	2.2684	2.6831	2.5666	1.8878
KINASE-PSP_ZAP70	0.0015702421662363	0.00362910542551261	0.000441717791411043	0.000441717791411043	3.7201	3.6565	4.4711	4.0888
KINASE-PSP_Syk/SYK	0.00420070828609157	0.000441717791411043	0.000441717791411043	0.534657620479821	3.4537	4.5728	4.7041	1.1481
KINASE-PSP_Src/SRC	0.000441717791411043	0.35994721682251	0.591005419128939	0.511582412863516	-4.6069	1.5759	0.9903	1.165
KINASE-PSP_Ret/RET	0.0499213010417426	0.0015702421662363	0.152542722269176	0.253847270800482	2.2165	2.8152	2.1103	-1.8718
KINASE-PSP_PDGFRB	0.0580996570506355	0.334677009586396	0.00847360959473333	0.903889046790922	1.973	1.5827	2.7672	-0.373
KINASE-PSP_MKK6/MAP2K6	0.926149506346967	0.0404920512962684	0.775074027697913	0.420549360008355	-0.3328	2.6939	0.6243	-1.4476
KINASE-PSP_MKK4/MAP2K4	0.566647680916242	0.0451883895592505	0.213865199078361	0.154202361657791	1.0899	2.7518	-1.9531	-2.1252
KINASE-PSP_MEKK6/MAP3K6	0.988887198189752	0.0196556842805712	0.498968389909685	0.674631734128873	-0.1588	3.102	-1.3061	-0.9569
KINASE-PSP_MEK1/MAP2K1	0.523891200227903	0.412573366375375	0.431564278308802	0.296543839591944	-1.1348	-1.4475	-1.4398	-1.6442
KINASE-PSP_LYN	0.848581547942528	0.369839485138407	0.00613359306449643	0.644478030322437	-0.4804	-1.5254	3.478	0.911
KINASE-PSP_Lck/LCK	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.000441717791411043	4.9878	6.7123	7.0186	4.7678
KINASE-PSP_JAK3	0.030624514334792	0.93519784056255	0.986136377893482	0.906751691018779	-2.3528	0.3005	0.1847	-0.374
KINASE-PSP_JAK2	0.00729394602479942	0.000441717791411043	0.0015702421662363	0.256079891219545	2.4552	3.1151	2.644	1.7171
KINASE-PSP_Hck/HCK	0.186130803262086	1	0.0962287494844888	0.719759489442501	1.8357	0.1206	2.3383	0.781
KINASE-PSP_Fyn/FYN	0.000441717791411043	0.00613359306449643	0.00231640356897735	0.00231640356897735	5.2786	3.61	3.889	3.9293
KINASE-PSP_FGFR1	0.383858159055866	0.00729394602479942	0.148301326636356	0.91801356474774	1.5075	2.338	2.1357	0.3353
KINASE-PSP_EGFR	0.53342002233184	0.263471755394123	0.160477758211469	0.836009500713219	1.1944	1.8086	2.1713	0.5311
KINASE-PSP_AXL	0.0216500115266265	0.148301326636356	0.432551977311464	0.556351926558036	2.684	1.8582	1.3854	1.1135
KINASE-PSP_ASK1/MAP3K5	0.988887198189752	0.0157144578250143	0.498968389909685	0.674631734128873	-0.1575	3.0776	-1.302	-0.9518
KINASE-PSP_ALK	0.953577742671929	0.213411485230324	0.782361249756651	0.700610742153769	-0.2865	-1.9183	0.6238	0.8247
KINASE-PSP_Abl/ABL1	0.0503598240514789	0.45535932384574	0.125828607504	0.0252	2.7302	1.3169	2.1886	3.1918
KINASE-iKiP_ZAP70	0.0721091732883586	0.748953382546264	0.138964617099403	0.953577742671929	2.4486	0.7355	2.2583	-0.2603
KINASE-iKiP_YES1	0.0128582220293489	0.168615570208508	0.700610742153769	0.506988380340086	3.1747	-2.138	-0.7721	1.1739
KINASE-iKiP_TYRO3	0.0015702421662363	0.816996443877086	0.0375565482117962	0.546537071904738	3.4052	0.6032	-2.8946	1.0871
KINASE-iKiP_TXK	1	0.218915117951326	0.141587933326876	0.705638791426244	0.0078	-1.9717	-2.1632	0.7528
KINASE-iKiP_TNK1	0.700610742153769	0.0193624672354952	0.254816770243268	0.454108350232435	0.7889	-3.0626	-1.8392	1.2969
KINASE-iKiP_TEK	0.988887198189752	0.45535932384574	0.519607407736377	0.748951296967424	0.1726	-1.3226	1.1662	0.6801
KINASE-iKiP_TEC	0.262256349675133	0.0270375513382853	0.502124801592574	0.644478030322437	-1.7985	-3.1392	1.2015	0.8904
KINASE-iKiP_SYK	0.670789136920744	0.238916837274436	1	0.941449141002984	-0.8429	-1.9065	-0.0872	-0.2896
KINASE-iKiP_SRMS	0.243896783429698	0.150636832244021	1	0.99508418671004	-1.8525	-2.2321	-0.053	-0.1456
KINASE-iKiP_ROS1	0.0492699141867452	0.0493265628455708	0.272445574447799	0.0785742347940998	2.7388	-2.7186	-1.723	2.6389
KINASE-iKiP_RET	0.0361959103648498	0.872114531662086	0.113465537428484	0.330473575840769	2.6986	0.4703	-2.3747	-1.6492
KINASE-iKiP_PTK6	0.45711465883828	0.473187396508173	0.286048613202957	0.395505457403669	1.3141	-1.2728	-1.7553	1.4943
KINASE-iKiP_PTK2B	0.261328360146835	0.799959792933608	0.582454068320549	0.343525484761551	-1.8456	-0.6088	1.0611	1.5787
KINASE-iKiP_PTK2.FAK	0.290493647628419	1	0.649035296871114	0.793464406779661	1.6504	-0.0549	0.9012	-0.5944
KINASE-iKiP_PDGFRB	0.0353480885311871	0.906751691018779	1	0.775074027697913	2.6693	-0.3608	0.0691	0.6308
KINASE-iKiP_PDGFRA	0.290493647628419	0.674631734128873	0.09503365453335	0.185365768334332	1.6889	0.871	-2.4592	2.0907
KINASE-iKiP_NTRK3	0.442615712448247	0.597905793849888	0.141156462585034	0.0702825844602782	1.3802	1.0567	-2.241	2.6516
KINASE-iKiP_NTRK2	0.988887198189752	0.800303015492889	0.988887198189752	0.411484027496967	0.1852	0.5745	0.1798	1.4346
KINASE-iKiP_NTRK1	0.884254996796956	0.878425236764299	0.878783883556587	0.941790380776118	0.3884	0.432	-0.4465	-0.2877
KINASE-iKiP_NPM1:ALK	0.706981466592088	0.0576747306766717	0.676706378127187	0.368591777958629	0.7496	-2.6412	-0.8809	1.5242
KINASE-iKiP_MUSK	1	0.231865569329793	0.00922549751790186	0.498968389909685	0.068	-1.9248	-3.3201	1.1999
KINASE-iKiP_MST1R	0.0970827076807767	0.644478030322437	0.466085805206804	0.0275051073795406	2.341	-0.9357	1.2995	2.5789
KINASE-iKiP_MET	0.912229243315968	0.0962287494844888	0.545727124770796	0.562227713595926	-0.3587	-2.445	-1.0977	1.0984
KINASE-iKiP_MERTK.MER	0.234404181881643	0.967855315003114	0.416331584977902	0.75124556556437	1.8825	-0.2475	1.4188	0.6993
KINASE-iKiP_MATK.CTK	0.0712839970967114	0.463093760726639	0.10163260487889	0.105560105560106	-2.6947	-1.2819	-2.4242	-2.4793
KINASE-iKiP_MAPK3.ERK1	0.0944700460829493	0.0055629384677195	0.00738222003489777	0.124396502979427	2.0157	2.7284	2.4561	1.9376
KINASE-iKiP_MAPK1.ERK2	0.124396502979427	0.00231640356897735	0.00299180992034306	0.168156946483385	1.9767	2.6994	2.4442	1.8693
KINASE-iKiP_LYNB.LYN	0.00299180992034306	0.0172101611659884	0.0536843064534391	0.311943371347938	4.0219	-3.3265	-2.8838	1.6719
KINASE-iKiP_LYNA.LYN	0.362487246614447	0.700610742153769	0.879487631470709	0.585392679154494	1.5586	-0.7549	0.417	0.9976
KINASE-iKiP_LTK	0.0832853548697483	0.0499213010417426	0.498968389909685	0.328799499501819	-2.4921	-2.8296	1.2	1.6539
KINASE-iKiP_LCK	0.0129087779690189	0.233057263215968	0.411484027496967	0.0445416634280901	3.408	-1.8989	1.4248	2.9256
KINASE-iKiP_KIT	0.912158698114024	0.185365768334332	0.519607407736377	1	0.3615	-2.0779	-1.1513	0.0768
KINASE-iKiP_KDR	0.70910583135167	0.505428571428571	0.0816488532305163	0.988887198189752	0.7562	-1.2069	-2.4372	-0.1613
KINASE-iKiP_JAK3	0.444601324311796	0.575866612454029	0.0421320699954123	0.105004651021227	-1.3562	-1.0713	2.8516	2.3743
KINASE-iKiP_JAK2	0.976742883284939	0.445643178962209	0.582694225754433	0.444601324311796	-0.2181	-1.3452	-1.0753	1.3525
KINASE-iKiP_ITK	0.0578920483568875	0.149934711528196	0.0625685178748095	0.442615712448247	2.5507	2.2154	2.6873	1.3549
KINASE-iKiP_INSRR	0.00680519009164323	1	0.988887198189752	0.231865569329793	3.3326	0.0185	-0.1658	1.9153
KINASE-iKiP_INSR	0.501492366521403	0.272445574447799	0.286048613202957	0.448012116622491	-1.2138	-1.7874	1.7359	-1.3301
KINASE-iKiP_IGF1R	0.170027710501128	0.423632552597476	0.567525470253369	0.143101475601269	2.1334	1.4071	-1.0751	2.2594
KINASE-iKiP_HCK	0.173565286942611	0.0454972797188786	0.649035296871114	0.711425569176883	2.1165	-2.8459	-0.875	-0.7441
KINASE-iKiP_FRK	0.268313343530278	0.143990316440707	0.700610742153769	0.999058262738862	1.7436	-2.2875	0.7713	0.1409
KINASE-iKiP_FLT4	0.53905909051235	0.0500458753857703	0.694725187372246	0.00853983431261633	1.1325	-2.7415	-0.8034	-3.422
KINASE-iKiP_FLT3	0.0196547734153339	0.0049506312054787	0.230745022344376	0.217385881766026	3.2714	-3.503	-1.8993	1.9785
KINASE-iKiP_FGR	0.212319588290954	0.719998013113451	0.632384628134397	0.103920990566038	1.9903	-0.7197	-0.9171	2.4865
KINASE-iKiP_FGFR4	0.999058262738862	0.584880420831902	0.205725236867579	0.105318941232254	-0.1351	-1.0798	1.8702	-2.305
KINASE-iKiP_FGFR3	0.0165144898769353	0.540745758439799	0.712908712908713	0.00299180992034306	2.1731	1.197	0.7902	-3.5554
KINASE-iKiP_FGFR2	0.935217134256897	0.884254996796956	0.408331092941977	0.0251795416224318	0.295	-0.4116	-1.4368	-3.1049
KINASE-iKiP_FGFR1	0.160477758211469	0.955855264931307	0.527343200097604	0.955855264931307	2.1674	-0.2792	-1.1294	0.2713
KINASE-iKiP_FES	0.377676458278548	0.369839485138407	0.868966505348956	0.906751691018779	1.5255	-1.5169	-0.4386	-0.3589
KINASE-iKiP_FER	1	0.000441717791411043	0.444601324311796	0.330473575840769	-0.0387	-4.5006	-1.3375	1.616
KINASE-iKiP_ERBB4	0.991613871900978	0.473187396508173	0.00616748138334323	0.120876759428387	-0.1382	-1.286	3.5361	2.3694
KINASE-iKiP_EPHB4	0.959500269845097	0.00364923548516586	0.272445574447799	0.0243722866790221	0.2419	-3.8482	-1.7743	3.2464
KINASE-iKiP_EPHB3	0.991613871900978	0.340936956540121	0.752896075136597	0.116580667039383	-0.1552	-1.5878	-0.6994	2.3626
KINASE-iKiP_EPHB2	0.0261160256740103	0.955855264931307	0.335961383748994	0.967855315003114	2.8664	-0.2547	1.6064	0.2178
KINASE-iKiP_EPHB1	0.346555107220038	0.0351786083304098	0.0421561677131861	0.717953353633861	-1.5922	-3.0244	-2.7214	0.726
KINASE-iKiP_EPHA8	0.0536843064534391	0.1929783771216	0.26629529835609	1	-2.6759	-2.0601	1.8084	-0.0102
KINASE-iKiP_EPHA7	0.123778738241383	0.364676914886538	0.960565653809865	0.113465537428484	2.0205	1.5619	0.2552	1.9662
KINASE-iKiP_EPHA6	0.930448568176801	0.0270375513382853	0.0789321317583669	1	0.3338	2.4403	2.3959	0.1276
KINASE-iKiP_EPHA5	0.330473575840769	0.444601324311796	1	1	1.6203	-1.3353	0.0098	-0.0553
KINASE-iKiP_EPHA4	0.879487631470709	0.978207057952824	0.400865948286347	0.22751976284585	-0.4222	-0.2171	1.4764	-1.9228
KINASE-iKiP_EPHA3	0.452839113070108	0.0981618527107285	0.468261993034491	0.0576359570878504	-1.3103	-2.4508	1.259	2.7942
KINASE-iKiP_EPHA2	0.574981445543782	0.18927039686525	0.412575668258245	0.311249885485693	-1.0293	-2.0558	1.424	-1.665
KINASE-iKiP_EPHA1	0.408089250094465	0.168299221309731	0.219256812905785	0.0495307612095933	-1.4356	-2.1498	-1.957	2.845
KINASE-iKiP_EGFR	0.0596769487839164	0.898110087799071	0.172984013249175	0.10163260487889	2.7177	0.3867	2.1411	2.4206
KINASE-iKiP_DDR2	0.700610742153769	0.142534590320061	0.0468998530592459	0.574897885465003	0.7805	-2.2715	-2.6217	-1.0518
KINASE-iKiP_CSF1R.FMS	0.752896075136597	0.28602307579962	0.156195182964963	0.452839113070108	0.6635	-1.748	-2.1698	1.3066
KINASE-iKiP_BMX	0.000441717791411043	0.498968389909685	0.728961540951359	0.28330146791677	3.6683	1.2595	-0.6847	1.7446
KINASE-iKiP_AXL	0.231865569329793	0.881157803400593	0.988887198189752	0.346555107220038	1.8954	-0.4307	-0.1535	1.6006
KINASE-iKiP_ALK	0.146341463414634	0.579102929738138	0.942262726778708	0.538247904349637	2.1713	1.0888	-0.2775	1.1236
KINASE-iKiP_ABL2	0.448012116622491	0.2823671841618	0.0324641863341235	0.0607047675451584	-1.3432	-1.7209	2.9017	2.6194
DISEASE-PSP_type_2_diabetes	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.054981854866959	3.1719	3.5021	2.9923	1.9935
DISEASE-PSP_neuroblastoma	0.670789136920744	0.00299813865558466	0.0193624672354952	0.752896075136597	-0.8351	-3.8079	-3.0847	-0.636
DISEASE-PSP_HNSCC	0.000441717791411043	0.000441717791411043	0.0152341456447799	0.0709406830437388	-3.2997	-3.5088	-3.0551	-1.9514
DISEASE-PSP_glioma	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.0469172600320141	3.1956	3.4525	2.9771	1.9845
DISEASE-PSP_breast_cancer	0.0308577583488188	0.0721822367119064	0.0737110474102059	0.148672754865678	2.7206	2.2007	2.4526	2.1901
DISEASE-PSP_acute_myelogenous_leukemia	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.0476800021672728	3.148	3.4517	2.9558	2.0253
