id	fdr.pvalue.TCP 0m DMSO vs JE6 0m DMSO	fdr.pvalue.N22 0m DMSO vs JE6 0m DMSO	fdr.pvalue.SHP 0m DMSO vs JE6 0m DMSO	fdr.pvalue.TCP 5m DMSO vs JE6 5m DMSO	fdr.pvalue.N22 5m DMSO vs JE6 5m DMSO	fdr.pvalue.SHP 5m DMSO vs JE6 5m DMSO	TCP 0m DMSO vs JE6 0m DMSO	N22 0m DMSO vs JE6 0m DMSO	SHP 0m DMSO vs JE6 0m DMSO	TCP 5m DMSO vs JE6 5m DMSO	N22 5m DMSO vs JE6 5m DMSO	SHP 5m DMSO vs JE6 5m DMSO
PERT-P100-DIA2_IPI145	0.787834607422398	0.736209422581626	0.891862305150366	0.138644554540181	0.197639101982027	0.281092938568185	0.7526	-0.93	0.4685	2.366	-1.9826	-2.0827
PERT-P100-DIA2_GELDANAMYCIN	0.66484374739801	0.069482067396251	0.0779794157277601	0.708016448012532	0.0660430041028812	0.325322027388801	1.0409	-2.61	-2.4701	-0.9638	-2.6593	-1.9195
PERT-P100-DIA2_DMSO	0.998644064437493	0.706290453128824	0.480909212846492	0.295246798378274	0.530832198646954	0.24356111214051	0.1581	-0.9047	-1.474	-2.0301	-1.3379	-2.1404
PERT-P100-DIA2_CI-994	0.675315201803758	0.0673504513840858	0.0573689941834214	0.709597414264647	0.0848506491850114	0.32063309352518	1.0288	-2.6433	-2.4463	-0.96	-2.6446	-1.9281
PATH-WP_Non-small_cell_lung_cancer	0.692248787543606	0.644435255507692	0.0145572179539021	0.312905303064658	0.809296261225118	0.383034699049473	-0.9256	-1.0815	3.5556	1.897	-0.6836	1.6342
PATH-NP_TWEAK_PATHWAY	0.337150593294577	0.118471337579618	0.019475601399358	0.0384197715783561	0.0145572179539021	0.477800650656306	1.8668	-2.6692	3.5277	3.203	-3.9187	1.4856
PATH-NP_TSLP_PATHWAY	0.922326815061369	0.850696532548481	0.793511180428356	0.687803238822496	0.527832137058731	0.421416112609336	-0.4106	0.6376	0.7524	-0.996	-1.3726	-1.6415
PATH-NP_TIE2_PATHWAY	0.592977771306133	0.533450395083406	0.787834607422398	0.207502930832356	0.887431090396603	1	1.1609	-1.3214	-0.7723	2.299	-0.439	0.0274
PATH-NP_T_CELL_RECEPTOR_PATHWAY	0.11319194097552	0.139875934342338	0.541920001432703	0.0343003236828385	0.0505304527856082	0.353600579144336	2.554	-2.3002	1.3075	3.2283	-2.9005	1.8241
PATH-NP_PROLACTIN_PATHWAY	0.524678098664215	1	0.0145572179539021	0.669401773586156	0.0297099156843597	0.896153334458776	-1.3796	0.0912	-3.5287	-1.0796	2.7736	0.4925
PATH-NP_OXYTOCIN_PATHWAY	0.996143732850244	0.290896872408803	0.019475601399358	0.0384197715783561	0.258374876340853	0.432679167532944	0.1751	-2.04	3.6065	3.1553	-2.1667	1.6086
PATH-NP_NOTCH_PATHWAY	0.658081613228924	0.0545952883822262	0.449212827988338	0.0376175548589342	0.044241896666496	0.665492957746479	1.0019	-3.1719	1.5384	3.1691	-3.412	1.0047
PATH-NP_LEPTIN_PATHWAY	0.105627522988561	0.954884386533102	0.535443453606367	0.0214463369954278	0.0155373327578766	0.633665812308927	2.7343	0.3097	1.305	3.6344	-3.8331	1.0785
PATH-NP_KIT_RECEPTOR_PATHWAY	0.674843772321206	0.671748168679469	0.921400154370934	0.283901784721294	0.35273416277668	0.241242197392096	0.9655	-0.9981	0.371	2.0631	-1.8381	-2.1162
PATH-NP_IL33_PATHWAY	0.813597011385199	0.088927248106427	0.0214463369954278	0.0145572179539021	0.247528165309047	0.83329394750026	-0.6377	-2.8146	3.7408	3.7243	-2.1872	0.5852
PATH-NP_GLP1_PATHWAY	0.655810187710665	0.105062249382759	0.0437632906329997	0.330970427179423	0.288334703631481	0.229901952088555	1.026	-2.5962	-2.9042	1.8471	-2.023	-2.1684
PATH-NP_FGF1_PATHWAY	0.358466951614046	0.736847716006609	0.0438045021293855	0.988726690996351	0.808194416549508	0.501268867309248	1.7972	-0.805	-3.1439	0.1937	0.6559	1.4176
PATH-NP_EGFR1_PATHWAY	0.658678936479017	0.666894926999279	0.887431090396603	0.973082706766917	0.789473684210526	0.0446282467049478	0.9954	-0.972	-0.4343	-0.231	-0.6877	-3.4085
PATH-NP_CRH_PATHWAY	0.31572463188081	0.109225176746716	0.0155373327578766	0.0360649168503306	0.019475601399358	0.493348595039015	1.9644	-2.7214	3.5223	3.2039	-3.7706	1.4636
PATH-NP_CCR7_PATHWAY	0.878646556856519	0.50406272947445	0.944783306581059	0.313082259663033	0.880880011319856	0.967298157117881	0.5063	-1.4219	0.3068	1.8993	0.5197	-0.252
PATH-NP_B_CELL_RECEPTOR_PATHWAY	0.355574859922686	1	0.0222994904153487	0.297444738701114	0.287539936102236	0.293527152810112	-1.7701	-0.1346	2.9762	1.9494	2.0879	1.9954
PATH-NP_AGE_RAGE_PATHWAY	0.0780082405763942	0.73767202301107	0.560645956206571	0.0239467849223947	0.0386867981301381	1	2.9187	-0.8099	1.2422	3.2447	-3.3351	0.1138
PATH-BI_ISCHEMIA	0.50406272947445	0.442638992668951	0.0239467849223947	0.178327876281149	0.13985413985414	0.662513954032907	1.4049	-1.6124	3.1838	2.3128	-2.3123	1.117
KINASE-PSP_ZAP70	0.918046819672999	0.827299497661528	0.814572498530998	0.379155543729238	0.35981684580658	0.0376175548589342	0.367	0.6551	-0.7086	1.7169	1.7757	3.2722
KINASE-PSP_Syk/SYK	1	0.734409603382323	0.0145572179539021	0.0384197715783561	0.0760067049685865	0.96802174948736	-0.1608	0.8066	3.5001	3.2059	2.8061	-0.2374
KINASE-PSP_Src/SRC	0.511592844627358	0.814572498530998	0.351420987021646	0.501792465287797	0.670765959912237	0.883545608100054	-1.3674	-0.6402	-1.817	-1.3951	0.9526	0.4633
KINASE-PSP_Ret/RET	0.920871535898338	0.116883116883117	0.0214463369954278	0.0384197715783561	0.0343003236828385	0.815858050537288	-0.3788	-2.7373	3.1524	3.0085	-3.2301	0.7011
KINASE-PSP_PDGFRB	0.543501825148971	0.568499708289078	1	0.412252509778011	0.716266696853068	0.214511971677898	1.2933	-1.2591	-0.0017	1.6555	-0.8954	-2.1948
KINASE-PSP_MKK6/MAP2K6	0.338811169679173	0.530155178979436	0.112687273670597	0.0155373327578766	1	0.176558559615272	1.7313	-1.3604	2.6769	3.2525	0.0847	2.4329
KINASE-PSP_MKK4/MAP2K4	0.73767202301107	0.210005486942041	0.208729445686467	0.0446282467049478	0.105326988737312	0.40330442048303	0.7871	-2.3501	2.2836	2.7702	-2.4523	1.662
KINASE-PSP_MEKK6/MAP3K6	0.730357034013548	0.318259737346874	0.256269169794669	0.0502818970152257	0.240092853589786	0.408288483279062	0.8291	-1.9462	2.1621	2.7373	-1.8509	1.6684
KINASE-PSP_MEK1/MAP2K1	0.351420987021646	0.782414373880032	0.189107550210329	0.232994511283477	0.118471337579618	0.493348595039015	1.8439	-0.8683	2.3746	2.1376	-2.3441	-1.4474
KINASE-PSP_LYN	0.81400089117265	0.216548544103834	0.880880011319856	0.0739849898765395	0.546892691765653	0.606741573033708	-0.6421	-2.256	-0.4949	-2.7916	-1.27	-1.1422
KINASE-PSP_Lck/LCK	0.917899071664332	0.920871535898338	0.338811169679173	0.883545608100054	0.66484374739801	0.0438045021293855	-0.3654	-0.3438	1.8602	-0.4674	0.9799	3.59
KINASE-PSP_JAK3	0.0505194540639641	0.120788507376152	0.500925143584423	0.967298157117881	0.910524481771114	0.811668592567469	-2.8274	-2.4913	-1.4472	-0.2702	0.3922	0.6803
KINASE-PSP_JAK2	0.977680023152411	0.988726690996351	0.0705820313292273	0.164083493010125	0.743501702809111	0.521719105480698	-0.223	-0.1993	2.6327	2.3961	-0.8149	1.3625
KINASE-PSP_Hck/HCK	0.553005393592552	0.493348595039015	0.820941354140448	0.527832137058731	0.194945048633703	0.66484374739801	1.2576	1.4438	0.6532	1.3476	2.3531	-1.1006
KINASE-PSP_Fyn/FYN	0.0384197715783561	0.0222994904153487	0.823769809050792	0.73767202301107	0.0341268496149239	0.447046887588687	3.4253	3.7068	0.6329	-0.8035	3.6303	1.5767
KINASE-PSP_FGFR1	0.119611421097598	0.644435255507692	0.0487634551015002	0.996143732850244	0.722066847487678	0.115755209975195	-2.6335	-1.1006	2.4258	0.1683	-0.9314	2.3855
KINASE-PSP_EGFR	0.694712615936282	0.991387214785022	0.182367634985239	0.881692141457632	0.40330442048303	0.73767202301107	-0.9095	-0.1796	2.2825	-0.4765	1.6134	-0.8471
KINASE-PSP_AXL	1	0.471821229050279	0.641974907119871	0.583359025268532	0.697905855459359	0.998644064437493	-0.0792	-1.4897	-1.1064	-1.2391	-0.9081	-0.1609
KINASE-PSP_ASK1/MAP3K5	0.736847716006609	0.319115976453578	0.244663285121889	0.0386867981301381	0.236084997476307	0.421416112609336	0.8325	-1.9179	2.1677	2.7678	-1.8614	1.6393
KINASE-PSP_ALK	0.287748468834988	1	0.636582746688939	0.824971300497458	0.841095963179523	0.995484587513428	1.8023	-0.1007	1.0799	-0.6916	-0.6571	-0.1683
KINASE-PSP_Abl/ABL1	0.587927051671733	0.290896872408803	0.721910400480892	0.480132330844432	0.500925143584423	0.852344010036613	1.1746	2.0161	-0.8355	-1.4828	-1.3956	0.5304
KINASE-iKiP_ZAP70	0.647825476006464	0.925603074586497	0.0214463369954278	0.12060217987661	1	0.044241896666496	-1.0394	0.3276	-3.6558	-2.6368	-0.026	-3.2017
KINASE-iKiP_YES1	0.881692141457632	1	1	0.304934079822912	0.880880011319856	0.998644064437493	-0.4833	0.0083	0.0064	-1.9891	0.4827	0.1628
KINASE-iKiP_TYRO3	0.258374876340853	0.0519886508435413	0.51353631413452	0.974143114852676	0.8457072862439	0.121264753483598	2.1328	3.276	-1.3631	-0.2365	-0.5982	-2.7276
KINASE-iKiP_TXK	0.407395232864851	0.35981684580658	0.352279966742612	0.377951146825608	0.634629574205172	0.375426270066197	-1.6505	1.7618	-1.8095	-1.7357	-1.0613	-1.7414
KINASE-iKiP_TNK1	0.894635120902507	0.851699900189171	0.441654661452974	0.453456633604296	0.74083655404563	1	0.4314	-0.554	1.5461	-1.5372	-0.7962	0.0252
KINASE-iKiP_TEK	0.435098504960179	0.973082706766917	0.925603074586497	0.355574859922686	0.295211396532982	0.493348595039015	1.5954	-0.2321	0.3385	1.7755	2.0054	-1.431
KINASE-iKiP_TEC	0.304934079822912	0.451048561819824	0.0376175548589342	0.0319950703891549	0.0745844089645987	0.62600637276575	-1.9645	1.5526	-3.2608	-3.6088	3.0034	-1.0739
KINASE-iKiP_SYK	0.638047163308051	1	0.452041068506829	0.0733613950691521	0.2042780491326	0.741616176370695	-1.0666	-0.0691	-1.5421	-3.0072	2.3797	-0.7997
KINASE-iKiP_SRMS	0.79817807501904	0.332260177301366	0.784849970329472	0.876598805678644	0.638738107898935	0.389631938857603	0.6725	1.8884	-0.7062	-0.4991	1.0792	-1.7173
KINASE-iKiP_ROS1	0.211838927814631	0.671502777983885	0.201651172321563	0.953200685262711	0.719778955005604	0.84900787380573	2.2508	0.9753	-2.3339	0.2899	-0.8307	0.5614
KINASE-iKiP_RET	0.211934820788672	0.358466951614046	0.824971300497458	0.787834607422398	0.121264753483598	0.121264753483598	2.3388	1.783	0.6319	-0.6959	-2.7575	-2.6987
KINASE-iKiP_PTK6	0.371683861459101	0.0644904458598726	0.907068155994527	0.436928111325778	0.0530004532933505	0.958228049517869	1.7165	2.9013	-0.4209	-1.5962	3.047	-0.2849
KINASE-iKiP_PTK2B	0.447046887588687	0.0530004532933505	0.880880011319856	0.168970561154138	0.0524267481824007	0.132336945574669	-1.5727	3.0955	0.4773	-2.322	2.9718	2.5635
KINASE-iKiP_PTK2.FAK	0.0526173334055107	0.270032131969937	0.786417876215046	0.96802174948736	0.294086563037191	0.13985413985414	3.2372	2.1318	0.7328	0.2438	1.9575	-2.6207
KINASE-iKiP_PDGFRB	1	1	0.642229947484652	0.270612244897959	0.432679167532944	0.447046887588687	-0.1447	-0.0709	1.0516	-2.0215	-1.5902	1.5667
KINASE-iKiP_PDGFRA	0.184466730107606	0.786417876215046	0.329607657856628	0.227233955440308	0.949516096921901	0.351018278023191	2.4104	0.7111	1.8631	2.2459	-0.2886	1.8352
KINASE-iKiP_NTRK3	0.670560010812759	0.465423998349044	0.66484374739801	1	0.903195691076137	0.11319194097552	0.9855	1.5158	-1.0159	0.0033	0.4193	2.7344
KINASE-iKiP_NTRK2	0.878646556856519	0.673991701244813	0.564001661314766	0.587037350469815	0.998644064437493	0.214404965383332	-0.4853	-0.9655	1.2202	1.1804	0.1498	2.3679
KINASE-iKiP_NTRK1	0.715520537287415	0.921545445638329	0.895480358567607	0.50406272947445	0.789736887727206	0.903195691076137	-0.8642	0.3603	0.4188	-1.4006	-0.7026	0.4055
KINASE-iKiP_NPM1:ALK	0.281092938568185	0.0780082405763942	0.743844343683637	0.148412116130385	0.0600740042080824	0.958228049517869	-2.0337	2.7841	-0.8188	-2.4451	2.8635	0.3004
KINASE-iKiP_MUSK	0.237902682302197	0.0239467849223947	0.0376175548589342	0.810686520106454	0.715520537287415	1	2.1577	3.6582	-3.3262	0.6716	0.8622	0.08
KINASE-iKiP_MST1R	0.0545952883822262	0.658081613228924	0.863092776914145	0.201187052560729	0.304269794231813	0.0376175548589342	2.3785	1.0271	-0.5817	2.2276	1.9659	2.9919
KINASE-iKiP_MET	0.100823490104361	0.9529438976125	0.501268867309248	0.853322579075088	0.849930696542879	0.721088873157861	2.7971	0.2935	-1.4281	0.5346	0.5583	-0.8321
KINASE-iKiP_MERTK.MER	0.0487634551015002	0.262338495037819	0.129384176182708	0.319115976453578	0.216	0.562841530054645	2.6298	2.0989	-2.0412	1.8273	2.2527	-1.251
KINASE-iKiP_MATK.CTK	0.964215267064036	0.181077844311377	0.0537502030039343	0.84830052196786	0.0511610280438228	0.40170601071216	0.2549	2.4163	-2.945	0.5698	2.9937	-1.6963
KINASE-iKiP_MAPK3.ERK1	0.826213812052548	0.705883298354359	0.0343003236828385	0.708016448012532	0.163048570982352	0.441528074739581	-0.6144	1.0207	2.9135	-0.9072	-2.2627	-1.5408
KINASE-iKiP_MAPK1.ERK2	0.95181236673774	0.998644064437493	0.0376175548589342	0.513024846210455	0.137119273839982	0.895480358567607	0.3057	-0.1799	2.8667	1.4151	-2.3087	0.4758
KINASE-iKiP_LYNB.LYN	0.678189103522517	0.0155373327578766	0.184466730107606	0.531973766322458	0.305834466641439	0.320312518746566	0.9494	4.2076	-2.4237	-1.3061	1.992	-1.9014
KINASE-iKiP_LYNA.LYN	0.546892691765653	0.0145572179539021	0.0751755401066727	0.514998413838011	0.0145572179539021	0.297444738701114	1.2386	4.362	-2.8809	1.3564	4.4005	-2.0007
KINASE-iKiP_LTK	0.0384197715783561	0.511592844627358	0.730357034013548	0.0343003236828385	0.063689835220243	0.267867232334143	-3.262	1.3722	-0.8411	-3.5151	3.0821	2.0529
KINASE-iKiP_LCK	0.410657379299921	0.0465370141621901	0.141828392420538	0.96802174948736	0.0376175548589342	0.682756082600695	1.6478	3.3751	-2.5999	-0.2461	3.6763	0.9252
KINASE-iKiP_KIT	0.40330442048303	0.852863540146909	0.0761439214119527	0.964215267064036	0.68581284291473	0.363182439116303	1.6887	0.5422	2.9475	-0.2603	-0.9305	1.7831
KINASE-iKiP_KDR	0.421416112609336	0.449212827988338	0.265796352509662	0.544358680998267	0.622566319526819	0.0987607199513353	1.582	1.543	-2.0293	1.3246	-1.1084	-2.41
KINASE-iKiP_JAK3	0.434254398271886	0.652472241859691	0.875044562454569	0.298329504594487	0.351420987021646	0.279880493506091	-1.5887	-1.0438	-0.5275	-2.0112	1.8602	2.074
KINASE-iKiP_JAK2	0.0734080479236738	1	0.473422257614971	0.0545952883822262	0.633128367306143	0.511098574661151	-2.7907	-0.1247	1.4918	-3.1222	1.0794	1.3869
KINASE-iKiP_ITK	1	0.0545952883822262	0.729629545209987	0.303218273370795	0.434867195672697	0.646780097383314	0.0078	2.9606	-0.8588	-2.0083	1.6006	-1.0897
KINASE-iKiP_INSRR	0.53621557595499	0.275784813763873	1	1	0.332260177301366	0.168970561154138	1.3316	2.0992	-0.0654	0.0553	1.8867	2.3452
KINASE-iKiP_INSR	0.297080768834027	0.335225843646054	0.655810187710665	0.633665812308927	0.61328570622041	0.838069401280884	2.0365	-1.8665	1.0204	1.0695	1.1196	0.5896
KINASE-iKiP_IGF1R	0.121457489878542	0.115262103615486	0.83329394750026	0.35981684580658	0.284678240922141	0.883545608100054	2.3718	2.7228	-0.6004	1.7797	2.0408	0.4725
KINASE-iKiP_HCK	0.58829562766663	0.280161304993784	0.355574859922686	0.0573689941834214	0.51353631413452	0.0852614319548187	1.1594	2.0777	-1.7878	-3.1634	1.3767	-2.7155
KINASE-iKiP_FRK	1	0.484101447029232	0.568499708289078	0.351420987021646	0.891862305150366	0.392797242752087	-0.0495	1.4639	-1.22	-1.7899	0.4328	-1.6981
KINASE-iKiP_FLT4	0.118471337579618	0.909301227678821	0.0155373327578766	0.910942393637611	0.982643027413588	0.73767202301107	2.5005	-0.4025	3.4793	0.4029	0.2205	0.8123
KINASE-iKiP_FLT3	0.562880938541677	0.248835981375702	1	0.0222994904153487	0.256910835862522	0.885166818504557	1.2402	2.1457	-0.0863	-3.7881	2.1825	0.4603
