id	fdr.pvalue.TCP 0m U0126 vs JE6 0m U0126	fdr.pvalue.N22 0m U0126 vs JE6 0m U0126	fdr.pvalue.SHP 0m U0126 vs JE6 0m U0126	fdr.pvalue.TCP 5m U0126 vs JE6 5m U0126	fdr.pvalue.N22 5m U0126 vs JE6 5m U0126	fdr.pvalue.SHP 5m U0126 vs JE6 5m U0126	TCP 0m U0126 vs JE6 0m U0126	N22 0m U0126 vs JE6 0m U0126	SHP 0m U0126 vs JE6 0m U0126	TCP 5m U0126 vs JE6 5m U0126	N22 5m U0126 vs JE6 5m U0126	SHP 5m U0126 vs JE6 5m U0126
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.0287739116534342	0.0186335403726708	0.747908218263949	0.0324501450182134	0.184094843561607	0.467306035332346	-2.6329	-3.5509	0.711	3.3782	-2.2394	1.4056
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	0.0278417488742997	0.0440881218138477	0.79432996796221	0.0683451136164496	0.336998772229877	0.468940188940117	-2.4862	-2.9798	0.6119	2.9121	-1.758	1.3827
PERT-PSP_OKADAIC_ACID	0.0273307014880049	0.0170179507866075	0.754860517612071	0.0287739116534342	0.176005901172515	0.468940188940117	-2.6748	-3.5117	0.7031	3.3031	-2.2836	1.3786
PERT-PSP_LPS	0.385753460513643	0.269250751055996	0.101604278074866	0.0126001400015556	0.183057742287845	0.859960623521124	-1.5857	-1.9318	2.0407	3.6518	-2.2578	0.4574
PERT-PSP_LPA	0.0278417488742997	0.023976023976024	0.748910591216738	0.0363930448847554	0.186125625619501	0.467306035332346	-2.666	-3.501	0.7183	3.3188	-2.2689	1.3993
PERT-PSP_INSULIN	0.0951177735395231	0.187586660108292	0.0976167744081812	0.0126001400015556	0.216349532184068	0.269799219185722	-2.6071	-2.2907	2.1142	4.0388	-2.1201	1.8995
PERT-PSP_IMATINIB	0.504681583476764	0.425284379544594	0.108173076923077	1	0.425284379544594	0.346631036457339	-1.254	-1.5038	-2.4506	-0.0466	-1.4887	-1.6426
PERT-PSP_IL_2	0.0338222245419907	0.123244937413345	0.080038362613889	0.00605693519079346	0.268907283113768	0.28982868506027	-3.2876	-2.5403	2.3282	4.6077	-1.9459	1.8921
PERT-PSP_IL_1B	0.379634206623826	0.253114691971487	0.116058415296854	0.00605693519079346	0.181073618070937	0.869967985013312	-1.6016	-1.9797	2.021	3.7074	-2.2729	0.4455
PERT-PSP_IL_1A	0.379304160688666	0.270553003288481	0.109611940298507	0.0226688355984678	0.188006343132145	0.863041711757162	-1.5904	-1.9153	2.0359	3.7402	-2.2391	0.4517
PERT-PSP_HGF	0.0273307014880049	0.0186335403726708	0.752482870120871	0.03201096672008	0.183368910036392	0.467512503759482	-2.6393	-3.5681	0.704	3.3319	-2.243	1.3978
PERT-PSP_HEREGULIN	0.0354917580250808	0.0485486278861237	0.790672278404658	0.0670903091775632	0.323734256401702	0.463059759712904	-2.4263	-3.0114	0.6182	2.8504	-1.7973	1.3952
PERT-PSP_H2O2	1	0.704872980762786	0.559831291601756	0.644107939933711	0.714339066339066	0.0750473910376738	-0.0737	-0.8148	1.1189	-0.9259	-0.7989	2.815
PERT-PSP_GEFITINIB	0.803068706274332	0.108173076923077	0.314987259491388	0.420082058402086	0.0430500192876431	0.336823536352165	-0.566	2.4566	-1.7915	1.4849	2.8663	-1.6864
PERT-PSP_FIBRONECTIN	0.0299102691924227	0.0363475041686426	0.795674398153237	0.0683451136164496	0.332222016901009	0.470959469333372	-2.4421	-2.9827	0.6066	2.8874	-1.7667	1.3694
PERT-PSP_FGF2	0.188377079883825	0.869967985013312	0.383514933585455	0.434770959067041	0.692809049686373	0.425814410016978	2.2045	0.4321	-1.5776	1.4618	0.8549	-1.4991
PERT-PSP_FGF1	0.0352126452521617	0.0440353506008991	0.796376199024827	0.0670903091775632	0.332336490329252	0.468940188940117	-2.44	-3.0714	0.6006	2.884	-1.767	1.398
PERT-PSP_ETOPOSIDE	0.359512063306592	0.0430500192876431	0.228482967043512	0.359512063306592	0.0405238640532758	0.467306035332346	-1.6576	-2.939	-2.0491	-1.6567	-3.1784	1.3988
PERT-PSP_ERLOTINIB	0.0279780665774362	0.023976023976024	0.755804567284407	0.0299102691924227	0.182153604509873	0.467306035332346	2.6527	3.5197	-0.7023	-3.3718	2.2736	-1.4108
PERT-PSP_EPO	0.036	0.0405238640532758	0.790064850914738	0.060910930778892	0.323734256401702	0.468940188940117	-2.4414	-3.0229	0.6176	2.9248	-1.7703	1.3761
PERT-PSP_EGF	0.302647476329825	0.0126001400015556	0.714832885799448	0.869967985013312	0.0170179507866075	1	1.8452	-4.0596	-0.7765	0.4125	-3.8567	0.0459
PERT-PSP_DASATINIB	0.023976023976024	0.0102015755766724	0.758308848862515	0.0380548565455234	0.192289380341372	0.468940188940117	2.6279	3.5763	-0.7028	-3.2998	2.247	-1.38
PERT-PSP_CYCLIC_STRETCH	0.0341316103658965	0.0470613867857726	0.795674398153237	0.0718455662447482	0.32541308411215	0.468940188940117	-2.4491	-3.0092	0.6074	2.9073	-1.7914	1.3831
PERT-PSP_CXCL12	0.0273307014880049	0.0413995342552396	0.790672278404658	0.0699890529942753	0.333554041064642	0.464766896117145	-2.4589	-3.0269	0.612	2.9106	-1.7708	1.3939
PERT-PSP_CISPLATIN	0.379304160688666	0.269799219185722	0.108048435505571	0.0157659630375755	0.192209769674558	0.877729455467971	-1.602	-1.9228	2.0133	3.7407	-2.2142	0.4444
PERT-PSP_BACTERIAL_INFECTION	0.023976023976024	0.0157659630375755	0.748910591216738	0.0299102691924227	0.191720418224541	0.468809933088037	-2.5964	-3.4868	0.7102	3.3453	-2.2247	1.3847
PERT-PSP_ARSENITE	0.0572821450335161	0.00432	0.0903765690376569	0.108173076923077	0.00605693519079346	0.796570567470771	-2.8821	-3.7635	-2.7775	-2.5636	-3.661	-0.5984
PERT-PSP_ANTI_IGM	0.031005971520441	0.043287982825092	0.795674398153237	0.0670903091775632	0.325696062244136	0.468940188940117	-2.4268	-2.9823	0.6095	2.8886	-1.7628	1.389
PERT-PSP_ANTI_CD3	0.541826422490353	0.434770959067041	0.00605693519079346	0.28823500279462	0.629540628143512	0.755804567284407	-1.1523	1.4536	4.7477	1.872	0.9448	0.6858
PERT-PSP_ANISOMYCIN	0.100936307677381	0.18538553222701	0.0990828644226581	0.00432	0.197378700258797	0.283800458311299	-2.6227	-2.2735	2.1075	4.0946	-2.183	1.8714
PERT-P100-DIA2_SOTRASTAURIN	1	0.30428691510227	0.901506246139746	0.960148290808419	0.467512503759482	0.568662970884805	0.0117	-1.824	0.3537	0.2343	-1.399	1.106
PERT-P100-DIA2_RGFP966	0.0670903091775632	0.178934448237505	0.0651598452453675	0.591999709647082	0.159342514070778	0.176005901172515	-2.864	-2.1631	-2.7104	-1.0451	-2.2078	-2.2835
PERT-P100-DIA2_RESVERATROL	0.605986445783133	0.123244937413345	0.107561480119513	0.47134184461043	0.0990828644226581	0.800387831777966	-1.0973	-2.4512	-2.1139	-1.3688	-2.7226	0.6094
PERT-P100-DIA2_PAZOPANIB	0.667433831990794	0.226660467034906	0.0509337860780985	0.503524069665284	0.215029833067251	0.564811290369806	-0.956	-2.021	-2.4851	-1.2877	-2.1169	-1.1965
PERT-P100-DIA2_LOSMAPIMOD	0.602080301040151	0.123244937413345	0.109674902820558	0.468940188940117	0.0951177735395231	0.802914334714764	-1.0972	-2.4828	-2.063	-1.378	-2.7029	0.6091
PERT-P100-DIA2_LENALIDOMIDE	0.673913677207803	0.220598012716966	0.0579880385973294	0.499803720899177	0.225187760953245	0.573327780452055	-0.9547	-2.039	-2.5116	-1.308	-2.083	-1.19
PERT-P100-DIA2_IPI145	0.192209769674558	0.625691654230284	0.196782813011387	0.468809933088037	0.784883720930233	0.139404244773201	-2.2104	-0.9703	-2.1335	-1.3846	-0.7005	-2.4349
PERT-P100-DIA2_GELDANAMYCIN	0.591999709647082	0.123244937413345	0.109243850481583	0.470959469333372	0.0903765690376569	0.802914334714764	-1.1063	-2.4426	-2.0747	-1.3532	-2.714	0.6001
PERT-P100-DIA2_DMSO	0.846704286636979	0.498899486426999	0.215029833067251	0.826631399602054	0.186477081292449	0.182153604509873	-0.4662	-1.2631	2.1096	-0.5011	-2.2918	2.2715
PERT-P100-DIA2_CI-994	0.601107762854846	0.139843374515846	0.108173076923077	0.476116848844431	0.0933428970223325	0.803537049713357	-1.1085	-2.408	-2.1236	-1.3385	-2.6896	0.6044
PATH-WP_Non-small_cell_lung_cancer	0.123117689491361	0.335461862715681	0.108173076923077	0.0157659630375755	0.379687631252638	0.264967619192133	-2.5157	-1.7351	2.0208	3.7505	-1.6084	1.9162
PATH-NP_TWEAK_PATHWAY	0.0227371412781747	0.109521698835476	0.100911444076052	0.00432	0.243393655754236	0.092546109352832	-3.3883	-2.6801	2.0958	4.4223	-2.017	2.6952
PATH-NP_TSLP_PATHWAY	0.581688028273283	0.589995191992831	0.470283952184334	0.9415845621227	0.54192592831994	0.416782804673128	-1.0898	1.1452	1.3729	0.2796	1.217	1.5214
PATH-NP_TIE2_PATHWAY	0.767358523531572	0.748910591216738	0.526720346207549	0.836911668484188	0.540007050092043	1	0.7209	-0.7261	-1.2288	-0.4784	-1.166	-0.0424
PATH-NP_T_CELL_RECEPTOR_PATHWAY	0.043287982825092	0.00605693519079346	0.134173417888877	0.197541588845937	0.0834551874175256	0.470283952184334	-2.4085	-3.5948	-2.0373	2.1931	-2.8304	1.3627
PATH-NP_PROLACTIN_PATHWAY	0.762362115675137	0.877729455467971	0.182153604509873	0.317766726943942	0.802914334714764	0.379304160688666	0.7128	-0.4403	2.0782	1.6626	-0.6015	1.6414
PATH-NP_OXYTOCIN_PATHWAY	0.0958484052808432	0.185164337480802	0.108173076923077	0.00432	0.210172490048651	0.25897001258882	-2.6518	-2.2827	2.0569	4.208	-2.1631	1.9303
PATH-NP_NOTCH_PATHWAY	0.165969425326939	0.673913677207803	0.558042900945791	0.00432	0.802914334714764	0.28982868506027	-2.3538	-0.8746	1.1391	4.6959	0.6032	1.868
PATH-NP_LEPTIN_PATHWAY	0.192209769674558	0.891134460303686	0.960148290808419	0.00605693519079346	0.442238693230101	0.463059759712904	-2.2165	-0.3505	0.2174	4.8495	1.4626	1.4169
PATH-NP_KIT_RECEPTOR_PATHWAY	0.468940188940117	0.470128381764652	0.215029833067251	0.0273307014880049	0.775228712174525	0.958617981153834	-1.366	-1.3374	-1.8264	3.4659	0.7063	0.244
PATH-NP_IL33_PATHWAY	0.0951177735395231	0.0287739116534342	0.376497792726508	0.0485486278861237	0.0170179507866075	0.372771474878444	-2.6595	-3.5829	1.6187	3.1627	-3.5207	1.6394
PATH-NP_GLP1_PATHWAY	0.455640456205066	0.777916173283585	0.131877421627334	0.67033521263757	0.986432055042543	0.971247256210202	1.4248	-0.6474	-2.501	-0.9037	-0.1725	0.1939
PATH-NP_FGF1_PATHWAY	0.0951177735395231	0.74756039361618	0.227957834609374	0.421991060998122	0.302647476329825	0.779446621812802	2.5131	-0.7345	-2.0309	1.5059	1.8121	0.6449
PATH-NP_EGFR1_PATHWAY	0.0170179507866075	0.208427797867756	0.108048435505571	0.043287982825092	0.446899299759801	0.093469965270334	-3.981	-2.1566	-2.7115	-3.3697	-1.4288	-2.9086
PATH-NP_CRH_PATHWAY	0.0206709867935362	0.113975109962269	0.0951177735395231	0.00605693519079346	0.241848374944017	0.0951177735395231	-3.4091	-2.6536	2.1405	4.3593	-2.0153	2.6824
PATH-NP_CCR7_PATHWAY	0.826631399602054	0.776051217033226	0.215029833067251	0.540745835766863	0.183368910036392	0.584720410043075	-0.5192	0.6875	2.0832	1.2109	-2.2203	1.0589
PATH-NP_B_CELL_RECEPTOR_PATHWAY	0.536763091755408	0.0206709867935362	0.0736611586701175	0.584720410043075	0.0226688355984678	0.34180547152553	-1.1793	-3.201	2.7057	-1.0785	-3.2715	1.6965
PATH-NP_AGE_RAGE_PATHWAY	0.137009781257964	0.612457854681551	0.962723653502952	0.00432	0.726661059714045	0.499803720899177	-2.5096	-0.9892	0.2149	4.7039	0.8173	1.2579
PATH-BI_ISCHEMIA	0.881689277120542	0.123244937413345	0.529412966169586	0.240935507399826	0.269799219185722	1	0.4101	-2.4631	1.1986	1.9672	-1.9634	-0.1244
KINASE-PSP_ZAP70	0.525979259806813	0.935103853131864	0.00432	0.201781847283683	0.476762378358727	0.379304160688666	1.2353	0.2705	4.1975	-2.1629	-1.3107	1.6119
KINASE-PSP_Syk/SYK	0.0675588371019843	0.0951177735395231	0.00605693519079346	0.584720410043075	0.0524484014569001	0.346631036457339	2.7342	-2.6207	4.0707	1.0901	-3.0661	1.6838
KINASE-PSP_Src/SRC	0.453202958119019	0.642848059233302	0.482593631413958	0.0346189469564176	0.819332307349011	0.412106546407817	-1.4223	-0.9174	-1.2796	-3.5749	-0.5031	-1.5195
KINASE-PSP_Ret/RET	0.0951177735395231	0.00432	0.0446247464503043	0.177169958419958	0.00432	0.241848374944017	-2.6272	-4.5336	-3.169	-2.2851	-4.2779	-2.0156
KINASE-PSP_PDGFRB	0.726851433769518	0.0834551874175256	0.964099988918109	0.62706499136078	0.478899267581782	0.751475933799986	0.8035	-2.5481	-0.2009	-1.0238	-1.3105	-0.73
KINASE-PSP_MKK6/MAP2K6	0.692809049686373	0.538480704357442	0.0718455662447482	0.29643394287108	0.468940188940117	0.0186335403726708	0.9109	-1.1965	2.7895	1.6863	-1.381	3.2455
KINASE-PSP_MKK4/MAP2K4	0.0775818875026714	0.00432	0.0951177735395231	0.242641892824939	0.0170179507866075	0.993719552038922	-2.7622	-3.7149	-2.6735	-1.9654	-3.3755	-0.1527
KINASE-PSP_MEKK6/MAP3K6	0.243393655754236	0.100911444076052	0.931866729896803	0.48516682465928	0.116058415296854	0.129928315412186	-1.9857	-2.264	0.2892	-1.2963	-2.4921	2.3722
KINASE-PSP_MEK1/MAP2K1	0.100911444076052	0.758308848862515	0.0273307014880049	0.591999709647082	0.824593128390597	0.00432	-2.5846	0.6923	-3.2246	-1.0788	0.5686	-3.3846
KINASE-PSP_LYN	0.468940188940117	0.476116848844431	0.266043887022322	0.468940188940117	0.908203944803347	0.486718864219247	-1.3539	-1.3254	1.9165	-1.3528	0.3315	1.3014
KINASE-PSP_Lck/LCK	0.133320339148231	0.243393655754236	0.00432	0.400853939383752	0.893618310741197	0.0683451136164496	2.4395	2.058	6.438	1.5509	0.3472	3.0816
KINASE-PSP_JAK3	0.894589178356713	0.517142901248862	0.363892654615542	0.446846846846847	0.285895666709969	0.212204371148065	-0.3454	-1.2346	1.6201	-1.4772	-1.8762	1.8142
KINASE-PSP_JAK2	0.604667411090248	0.220068245882993	0.161629167796151	0.0324501450182134	0.228746755793897	0.547766317255965	1.0532	-2.1102	1.9592	3.023	-2.0959	1.1854
KINASE-PSP_Hck/HCK	0.379304160688666	0.440596527809256	0.258144523283867	0.584731372173472	0.335461862715681	0.483113889567981	1.6241	1.471	1.7822	1.0812	1.6935	1.3407
KINASE-PSP_Fyn/FYN	0.0206709867935362	0.0102015755766724	0.134173417888877	0.580798758172025	0.00432	0.673913677207803	3.6138	4.0266	2.4725	1.062	5.0404	-0.8562
KINASE-PSP_FGFR1	0.420082058402086	0.0485486278861237	1	0.188377079883825	0.0405238640532758	0.832169943066082	-1.5132	-2.6843	0.0381	-2.2178	-2.7727	-0.5127
KINASE-PSP_EGFR	0.795674398153237	0.829718527086948	0.228871354074178	0.582446602679947	0.288477975953046	0.848592137552065	0.6165	-0.4969	2.0769	-1.0805	-1.8675	-0.4687
KINASE-PSP_AXL	0.1293209801882	0.121401574355622	0.891134460303686	0.752482870120871	0.282759466109861	0.704872980762786	2.1212	2.0673	-0.3623	0.7815	1.7499	0.8159
KINASE-PSP_ASK1/MAP3K5	0.252303092932637	0.101257343089766	0.931866729896803	0.476116848844431	0.123244937413345	0.130132182357702	-1.9712	-2.2812	0.2879	-1.3118	-2.463	2.4093
KINASE-PSP_ALK	0.952663232496802	0.459956133813164	0.877880143211517	0.848592137552065	0.559457965733936	0.663035417007423	0.2297	1.4127	-0.3957	-0.5178	1.2169	-0.9351
KINASE-PSP_Abl/ABL1	0.332222016901009	0.230150345388054	0.692809049686373	0.53573915754147	0.362753401744179	0.0465820139203817	1.7289	2.0964	-0.8344	-1.1664	1.6591	-3.2747
KINASE-iKiP_ZAP70	0.408606305720306	0.800387831777966	0.0430500192876431	0.728980010979238	0.96112215595317	0.0126001400015556	1.5466	0.5697	-2.8181	0.7608	0.2317	-3.8364
KINASE-iKiP_YES1	0.0354266201528265	0.113975109962269	0.796570567470771	0.125039142218527	0.0693196405648267	1	3.548	2.6143	-0.577	2.5809	3.023	-0.0518
KINASE-iKiP_TYRO3	0.591999709647082	0.125039142218527	0.330200213073845	0.829025673461174	0.325696062244136	0.52756723481205	-1.0254	2.4548	-1.7575	-0.5084	1.748	-1.1988
KINASE-iKiP_TXK	0.243393655754236	0.84509143560669	0.165213946117274	0.521970301338072	0.513248371212537	0.187586660108292	-2.0358	0.4612	-2.3444	-1.218	-1.2447	-2.1763
KINASE-iKiP_TNK1	0.964099988918109	0.204668871390274	0.284018827448335	1	0.766638711400108	0.971247256210202	-0.2059	2.1659	-1.8912	-0.1065	0.6923	-0.1922
KINASE-iKiP_TEK	0.314987259491388	0.473907815631263	0.540007050092043	0.122569366938123	0.304141896052624	0.826631399602054	1.8104	1.3286	1.1717	2.3908	1.8231	0.493
KINASE-iKiP_TEC	0.79432996796221	0.00432	0.187726222367641	0.690018039687312	0.0737918114356995	0.162807994528729	0.5985	4.5416	-2.242	-0.8372	2.938	-2.3192
KINASE-iKiP_SYK	0.603316643959557	0.0440881218138477	0.258144523283867	0.680752805580086	0.0413995342552396	0.116036939448978	1.0034	3.0931	-1.9682	0.843	3.452	-2.6246
KINASE-iKiP_SRMS	0.0937796713329276	0.692809049686373	0.540960702786554	0.197378700258797	0.388711219544361	1	-2.7722	0.8278	1.1461	-2.2439	1.5685	-0.0127
KINASE-iKiP_ROS1	0.463700234192037	1	0.800387831777966	0.323734256401702	0.425501762590565	0.946547958230411	1.3814	-0.0281	-0.5527	1.7243	-1.4966	-0.2432
KINASE-iKiP_RET	0.476116848844431	0.080038362613889	0.1293209801882	0.642848059233302	0.49146317206415	0.962723653502952	1.2903	2.78	-2.4902	0.9221	1.2722	-0.2234
KINASE-iKiP_PTK6	0.182153604509873	0.0670903091775632	0.902456302413572	0.379304160688666	0.0556865769344584	0.79432996796221	2.2252	2.6098	0.3421	1.564	2.7966	0.6123
KINASE-iKiP_PTK2B	0.489168259298947	0.468940188940117	0.228482967043512	0.075809525866491	0.749949623796619	0.540007050092043	-1.3058	-1.3883	2.0882	-2.6772	-0.7305	1.1705
KINASE-iKiP_PTK2.FAK	0.663035417007423	0.0360430227827502	0.0422145664515503	0.960148290808419	0.526720346207549	0.00432	0.8969	3.069	-3.289	0.2234	1.2176	-4.899
KINASE-iKiP_PDGFRB	0.0851235173421176	0.995172329199081	0.810777889191747	0.625691654230284	0.764803844515921	0.547766317255965	-2.8372	-0.1317	0.5423	-0.9717	-0.6935	1.1826
KINASE-iKiP_PDGFRA	0.359512063306592	0.901435218140277	0.79432996796221	0.54192592831994	0.558042900945791	0.415935609732157	1.664	0.3492	0.5977	1.1378	1.113	1.5241
KINASE-iKiP_NTRK3	0.0775818875026714	0.905639324168683	0.632765343257877	0.183368910036392	0.208427797867756	0.333979860243909	2.886	0.3269	0.956	2.2627	2.0928	1.7233
KINASE-iKiP_NTRK2	1	0.101885017967757	1	0.181178805318516	0.467306035332346	0.171925904985138	0.0039	-2.6559	-0.0784	2.2923	-1.3711	2.309
KINASE-iKiP_NTRK1	0.100936307677381	0.312911373270264	0.215029833067251	0.0683451136164496	0.680074511413507	0.366471757220336	-2.7459	1.8081	2.1281	-2.9706	-0.8566	1.6341
KINASE-iKiP_NPM1:ALK	0.240935507399826	0.0448578402269279	0.953777746444829	0.167066560028437	0.0899460782439099	0.760592579795275	1.9915	2.7668	-0.2429	2.2582	2.4105	-0.7314
KINASE-iKiP_MUSK	0.977300256529424	0.056919995783704	0.0488490013569167	0.773838525694305	0.237643463101806	0.49083799976303	0.1935	3.1159	-3.231	0.654	2.0966	-1.2631
KINASE-iKiP_MST1R	0.0878468374121786	0.663035417007423	0.86552590032297	0.0324501450182134	0.418909090909091	0.892065652648739	2.3267	0.9156	0.4214	3.1302	1.4997	0.3494
KINASE-iKiP_MET	0.0510580006434138	0.0848014827316639	0.243393655754236	0.183057742287845	0.0735645397270909	0.293595894896003	2.8132	2.7897	-2.0442	2.246	2.9693	-1.8584
KINASE-iKiP_MERTK.MER	0.0811732810806127	0.043287982825092	0.0605802369921308	0.109521698835476	0.123244937413345	0.283204058375914	2.6148	2.7303	-2.706	2.4556	2.2216	-1.8049
KINASE-iKiP_MATK.CTK	0.139843374515846	0.0915407854984894	0.0126001400015556	0.598127401853886	0.221536450769678	0.0102015755766724	-2.4676	2.6027	-3.7628	1.0213	2.0599	-3.822
KINASE-iKiP_MAPK3.ERK1	0.0683451136164496	0.192209769674558	0.215029833067251	0.141199582540365	0.714339066339066	0.0363475041686426	-2.2172	-2.1792	1.8513	2.3446	-0.8579	2.2505
KINASE-iKiP_MAPK1.ERK2	0.283908047811053	0.100936307677381	0.261889701243458	0.134173417888877	0.358758295494237	0.986933559157878	-1.8859	-2.5191	1.758	2.4316	-1.7024	-0.147
KINASE-iKiP_LYNB.LYN	0.0412728525901308	0.0813857101333821	0.202716934200101	0.0170179507866075	0.031005971520441	0.158097137159949	3.4952	2.9582	-2.2272	4.0003	3.5655	-2.4307
KINASE-iKiP_LYNA.LYN	0.139341926085442	0.0102015755766724	0.564722389147358	0.115409051255996	0.0186335403726708	0.723732114297402	2.4807	3.9835	-1.0938	2.6417	3.8656	-0.7587
KINASE-iKiP_LTK	0.795674398153237	0.037241658483197	0.293928595060071	0.197378700258797	0.0951177735395231	0.177169958419958	0.5879	3.2065	1.8401	2.2176	2.8288	2.3514
KINASE-iKiP_LCK	0.0403077629765733	0.00605693519079346	0.214210834319203	0.0734548133873665	0.0157659630375755	0.467306035332346	3.3561	4.6354	-2.1152	2.892	4.1041	-1.3836
KINASE-iKiP_KIT	0.521117319929862	0.28823500279462	0.108173076923077	0.0126001400015556	0.0542614194608693	0.336823536352165	1.2136	1.859	2.6176	3.5739	2.9831	1.7152
KINASE-iKiP_KDR	0.181178805318516	1	0.125039142218527	0.358066951817821	0.902456302413572	0.467306035332346	2.1368	-0.1267	-2.4025	1.6357	-0.3699	-1.4131
KINASE-iKiP_JAK3	0.833651448142852	0.467306035332346	0.471011182979476	0.733020906026276	0.23389597152478	0.402352338723771	0.4994	1.4166	1.3592	0.7673	2.0349	1.5492
KINASE-iKiP_JAK2	0.32417217785304	0.19552073542414	0.714339066339066	0.777453040199639	0.577465535780586	0.281739630416381	-1.7595	-2.193	0.7785	-0.6357	-1.0899	1.8731
KINASE-iKiP_ITK	1	0.577465535780586	0.741692418859869	0.116058415296854	0.176005901172515	0.671145508791534	0.0874	1.11	-0.7681	2.6567	2.1985	0.8758
KINASE-iKiP_INSRR	0.243393655754236	0.199862542287675	0.796570567470771	0.0928034371643394	0.333554041064642	0.739864314789688	2.0076	2.0898	0.6227	2.6323	1.7172	-0.7469
KINASE-iKiP_INSR	0.525979259806813	0.0768226029169471	0.84234450601591	0.131810739673789	0.0338222245419907	0.803902937583341	1.2006	2.852	-0.4536	2.4875	3.2218	-0.5476
KINASE-iKiP_IGF1R	0.215010949631694	0.0412728525901308	0.691958161291834	0.0670903091775632	0.0380574826560951	0.538235449144481	2.1145	2.9426	-0.8658	2.7625	3.1482	-1.2215
KINASE-iKiP_HCK	0.468940188940117	0.113975109962269	0.314987259491388	0.714339066339066	0.131810739673789	0.584720410043075	-1.3654	2.5247	-1.7968	-0.7755	2.5196	-1.0753
KINASE-iKiP_FRK	0.278635075125047	0.800387831777966	0.250437180092669	0.659209629797865	0.190871287128713	0.123244937413345	-1.8915	0.574	-1.9984	0.9051	2.1935	-2.519
KINASE-iKiP_FLT4	1	1	0.204229167875074	0.795674398153237	0.584720410043075	0.476116848844431	-0.0644	0.1066	2.2112	0.5752	-1.0817	1.3253
KINASE-iKiP_FLT3	0.377846998844828	0.0521275055333761	0.96126304030047	0.141334231560548	0.0352126452521617	1	1.6023	3.0122	-0.2148	2.444	3.4676	-0.1242
